"text";"id";"retweeted";"created_at";"source";"hashtags"
"@kossmao 你谁啊";"268006877437251584";"False";"2012-11-12 15:06:33";"Windows Phone";""
"#irhhu #5 Die Inforfilter\verdichtung dienen dazu, dem Nutzer  Dokumente auszugeben, die dem Bedarf bzw. seinem Bedürfnis entsprechen.";"267651707901734912";"False";"2012-11-11 15:35:14";"TweetDeck";"irhhu"
"#irhhu #4 ""Informationsex- plosion"":IR  ein probantes Mittel dem Überfluss an Informationen keinen Informationsmangel entstehen zu lassen.";"267650968596910080";"False";"2012-11-11 15:32:18";"TweetDeck";"irhhu"
"@agak03 between #irhhu und #nr gibt ein ein space !";"261482466487959554";"False";"2012-10-25 15:00:52";"TweetDeck";"irhhu nr"
"@oomoepoo iPad Mini, warum nicht Nexus 7, i like Nexus 7";"260859044942708736";"False";"2012-10-23 21:43:37";"TweetDeck";""
"#irhhu #03 Bezeigungen: a.Syntaktik(Zeichen mit Zeichen). b.Semantik(Zeichen mit Gegenstände).c.Pragmatik(Zeichen mit Benutzern)";"260855341284200448";"False";"2012-10-23 21:28:54";"TweetDeck";"irhhu"
"#irhhu #02 die anderen nesten Disziplinen: Dokum.Wissen, Wirtschafts.Wiss, Foschung, Informatik, Sprachtechnologie, Computerlinguistik";"260854731902156802";"False";"2012-10-23 21:26:29";"TweetDeck";"irhhu"
"#irhhu #01 Anwendungsfälle von IR: Suchwekzeuge im Internet, in unternehmensinternen Netzweken und elektronische Informationsdienst";"260854275947761664";"False";"2012-10-23 21:24:40";"TweetDeck";"irhhu"
"@louise_watt 玩火烧身";"247473615438757888";"False";"2012-09-16 23:14:42";"Twitter for iPad";""
"love britney http://t.co/BsTIj1R8";"246022392969838592";"False";"2012-09-12 23:08:04";"YouTube on iOS";""
"lovly http://t.co/jLtpSugH";"245611544946294784";"False";"2012-09-11 19:55:30";"YouTube on iOS";""
"Check out my airline's stats in Pocket Planes for iOS! http://t.co/XQwuBWPJ";"235340463681437696";"False";"2012-08-14 11:41:54";"iOS";""
"My AEROEAGLE-M flying from London to Delhi in Pocket Planes for iOS! http://t.co/TAkYSsAa";"231165916027691010";"False";"2012-08-02 23:13:44";"iOS";""
"Check out my airline's stats in Pocket Planes for iOS! http://t.co/nKR9p3mx";"230353711317278720";"False";"2012-07-31 17:26:19";"iOS";""
"My PEARJET-P flying from Beijing to Delhi in Pocket Planes for iOS! http://t.co/e71sjYAe";"230325346975760384";"False";"2012-07-31 15:33:37";"iOS";""
"Check out my airline's stats in Pocket Planes for iOS! http://t.co/D65ICcnF";"229745394618359808";"False";"2012-07-30 01:09:05";"iOS";""
"My PEARJET-M flying from Xi'an to Tokyo in Pocket Planes for iOS! http://t.co/l67PULhW";"229024590934986752";"False";"2012-07-28 01:24:52";"iOS";""
"#wrhhu #22 Faktenextraktion ist die Übetragungn des Inhalts aus Texten in Attribut-wert-paare eines vorgeferigeten Feldschemas.";"224316927902892032";"False";"2012-07-15 01:38:17";"TweetDeck";"wrhhu"
"#wrhhu #21 Das indikative Referat weist auf die Sachverhalte hin, bringt aber keinerlei Ergebnisse.";"224316566408413184";"False";"2012-07-15 01:36:51";"TweetDeck";"wrhhu"
"#wrhhu #20 Probabilistischen Indexierung ist die Wahrscheinlichkeisinformation über die Relevanz eines bestimmenten Begriffs.";"224316106528137216";"False";"2012-07-15 01:35:02";"TweetDeck";"wrhhu"
"#wrhhu #5 Nach Heidegger wird verstehen als Grundmodus der Menschnlichen Existenz und als abgeleiterte Form unterschieden.";"224315633926541313";"False";"2012-07-15 01:33:09";"TweetDeck";"wrhhu"
