"genres","28"
"max_rating","10.0"
"countries","168"
"runtime_min","3.0"
"runtime_sum","4554765.0"
"languages","199"
"movies","65300"
"directors","37427"
"writers","61390"
"actors","113191"
"min_rating","1.0"
"runtime_average","92.4431206998"
"runtime_max","5700.0"
"average_rating","6.05174669006"
