"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"Harry, Ron and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord.","PG-13","True","English","Harry Potter and the Deathly Hallows: Part 2","USA, UK","Steve Kloves (screenplay), J.K. Rowling (novel)","87","8.1","David Yates","15 Jul 2011","Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe","2011","Adventure, Fantasy, Mystery","Nominated for 3 Oscars. Another 33 wins & 49 nominations.","130 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY2MTk3MDQ1N15BMl5BanBnXkFtZTcwMzI4NzA2NQ@@._V1_SX300.jpg","327,745","tt1201607"
"When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of victims harbors a secret talent for fighting back.","R","True","N/A","You're Next","N/A","Simon Barrett","66","6.8","Adam Wingard","23 Aug 2013","Sharni Vinson, Nicholas Tucci, Wendy Glenn, AJ Bowen","2011","Comedy, Horror, Thriller","N/A","95 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQwODAxMTE1NF5BMl5BanBnXkFtZTcwNTQ0MjY3OQ@@._V1_SX178_.jpg","10,467","tt1853739"
"The lives of several couples and singles in New York intertwine over the course of New Year's Eve.","PG-13","True","English","New Year's Eve","USA","Katherine Fugate","22","5.5","Garry Marshall","09 Dec 2011","Michelle Pfeiffer, Zac Efron, Charlotte Marshall-Fricker, Fiona Choi","2011","Comedy, Romance","8 nominations.","118 min","movie","http://ia.media-imdb.com/images/M/MV5BMjI2Mzg2MDQxOV5BMl5BanBnXkFtZTcwNzc3NTY5Ng@@._V1_SX178_.jpg","45,588","tt1598822"
"Jack Sparrow and Barbossa embark on a quest to find the elusive fountain of youth, only to discover that Blackbeard and his daughter are after it too.","PG-13","True","English, Spanish","Pirates of the Caribbean: On Stranger Tides","USA","Ted Elliott (screenplay), Terry Rossio (screenplay), Stuart Beattie (characters), Jay Wolpert (characters), Tim Powers (novel)","45","6.6","Rob Marshall","20 May 2011","NA","2011","Action, Adventure, Fantasy","1 win & 23 nominations.","136 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE5MjkwODI3Nl5BMl5BanBnXkFtZTcwNjcwMDk4NA@@._V1_SY264_CR0,0,178,264_.jpg","242,597","tt1298650"
"In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start world war III.","PG-13","True","English, German, French, Spanish, Russian","X-Men: First Class","USA","Ashley Miller (screenplay), Zack Stentz (screenplay), Jane Goldman (screenplay), Matthew Vaughn (screenplay), Sheldon Turner (story), Bryan Singer (story)","65","7.8","Matthew Vaughn","03 Jun 2011","James McAvoy, Laurence Belcher, Michael Fassbender, Bill Milner","2011","Action, Adventure, Sci-Fi","6 wins & 17 nominations.","132 min","movie","http://ia.media-imdb.com/images/M/MV5BMTg5OTMxNzk4Nl5BMl5BanBnXkFtZTcwOTk1MjAwNQ@@._V1_SY264_CR0,0,178,264_.jpg","322,038","tt1270798"
"A mysterious Hollywood stuntman, mechanic and getaway driver lands himself in trouble when he helps out his neighbor.","R","True","English, Spanish","Drive","USA","Hossein Amini (screenplay), James Sallis (book)","78","7.9","Nicolas Winding Refn","16 Sep 2011","Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks","2011","Crime, Drama","Nominated for 1 Oscar. Another 43 wins & 80 nominations.","100 min","movie","http://ia.media-imdb.com/images/M/MV5BOTM1ODQ0Nzc4NF5BMl5BanBnXkFtZTcwMTM0MjQyNg@@._V1_SX178_.jpg","316,866","tt0780504"
"Aliens and their Guardians are hiding on Earth from intergalactic bounty hunters. They can only be killed in numerical order, and Number Four is next on the list. This is his story.","PG-13","True","English, French","I Am Number Four","USA","Alfred Gough (screenplay), Miles Millar (screenplay), Marti Noxon (screenplay), Jobie Hughes (novel), James Frey (novel)","36","6.1","D.J. Caruso","18 Feb 2011","Alex Pettyfer, Timothy Olyphant, Teresa Palmer, Dianna Agron","2011","Drama, Romance, Sci-Fi","1 win & 1 nomination.","109 min","movie","http://ia.media-imdb.com/images/M/MV5BMjI0NDI1MTMyM15BMl5BanBnXkFtZTcwMDMzMTcyNA@@._V1_SY264_CR0,0,178,264_.jpg","141,851","tt1464540"
"After being deemed unfit for military service, Steve Rogers volunteers for a top secret research project that turns him into Captain America, a superhero dedicated to defending USA ideals.","PG-13","True","English, Norwegian, French","Captain America: The First Avenger","USA","Christopher Markus (screenplay), Stephen McFeely (screenplay), Joe Simon (comic books), Jack Kirby (comic books)","66","6.8","Joe Johnston","22 Jul 2011","Chris Evans, Hayley Atwell, Sebastian Stan, Tommy Lee Jones","2011","Action, Adventure, Sci-Fi","2 wins & 19 nominations.","124 min","movie","http://ia.media-imdb.com/images/M/MV5BMTYzOTc2NzU3N15BMl5BanBnXkFtZTcwNjY3MDE3NQ@@._V1_SX300.jpg","265,474","tt0458339"
"On a weekend trip to Hawaii, a plastic surgeon convinces his loyal assistant to pose as his soon-to-be-divorced wife in order to cover up a careless lie he told to his much-younger girlfriend.","PG-13","True","English","Just Go with It","USA","NA","33","6.3","Dennis Dugan","11 Feb 2011","Adam Sandler, Jennifer Aniston, Nicole Kidman, Nick Swardson","2011","Comedy, Romance","5 wins & 11 nominations.","117 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE0MTk3MjE2Nl5BMl5BanBnXkFtZTcwMjE0ODA0NA@@._V1_SY264_CR10,0,178,264_.jpg","117,623","tt1564367"
"The neighboring gardens of Montague and Capulet are at war, but the gnomes, Gnomeo and Juliet, are in love.","G","True","English","Gnomeo & Juliet","UK, USA","Rob Sprackling (story), John R. Smith (story), Andy Riley (story), Kevin Cecil (story), Kelly Asbury (story), Steve Hamilton Shaw (story), Mark Burton (screenplay), Emily Cook (screenplay), Kathy Greenberg (screenplay), William Shakespeare (play)","53","5.9","Kelly Asbury","11 Feb 2011","James McAvoy, Emily Blunt, Ashley Jensen, Michael Caine","2011","Animation, Comedy, Family","Nominated for 1 Golden Globe. Another 1 win & 7 nominations.","84 min","movie","http://ia.media-imdb.com/images/M/MV5BMjAyNDM2MDA2NF5BMl5BanBnXkFtZTcwOTMxMDAxNA@@._V1_SX300.jpg","31,838","tt0377981"
