"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"A younger and more reluctant Hobbit, Bilbo Baggins, sets out on an ""unexpected journey"" to the Lonely Mountain with a spirited group of Dwarves to reclaim their stolen mountain home from a dragon named Smaug.","PG-13","True","English","The Hobbit: An Unexpected Journey","USA, New Zealand","Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Guillermo del Toro (screenplay), J.R.R. Tolkien (novel)","58","8.1","Peter Jackson","14 Dec 2012","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott","2012","Adventure, Fantasy","Nominated for 3 Oscars. Another 9 wins & 45 nominations.","169 min","movie","http://ia.media-imdb.com/images/M/MV5BMTcwNTE4MTUxMl5BMl5BanBnXkFtZTcwMDIyODM4OA@@._V1_SX300.jpg","412,630","tt0903624"
"Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games, a televised fight to the death in which two teenagers from each of the twelve Districts of Panem are chosen at random to compete.","PG-13","True","English","The Hunger Games","USA","Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay)","67","7.2","Gary Ross","23 Mar 2012","Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields","2012","Adventure, Sci-Fi, Thriller","Nominated for 1 Golden Globe. Another 30 wins & 33 nominations.","142 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA4NDg3NzYxMF5BMl5BanBnXkFtZTcwNTgyNzkyNw@@._V1_SX300.jpg","440,376","tt1392170"
"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.","R","True","English","Silver Linings Playbook","USA","David O. Russell (screenplay), Matthew Quick (novel)","81","7.9","David O. Russell","25 Dec 2012","Bradley Cooper, Jennifer Lawrence, Robert De Niro, Jacki Weaver","2012","Comedy, Drama, Romance","Won 1 Oscar. Another 61 wins & 77 nominations.","122 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM2MTI5NzA3MF5BMl5BanBnXkFtZTcwODExNTc0OA@@._V1_SY264_CR0,0,178,264_.jpg","304,460","tt1045658"
"Four college girls who land in jail after robbing a restaurant in order to fund their spring break vacation find themselves bailed out by a drug and arms dealer who wants them to do some dirty work.","R","True","English","Spring Breakers","USA","Harmony Korine","63","5.4","Harmony Korine","22 Mar 2013","James Franco, Selena Gomez, Vanessa Hudgens, Ashley Benson","2012","Crime, Drama","6 wins & 5 nominations.","94 min","movie","http://ia.media-imdb.com/images/M/MV5BNDE3MDQzMDA5OF5BMl5BanBnXkFtZTcwMTUxNTgxOQ@@._V1_SX300.jpg","67,247","tt2101441"
"Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.","PG-13","True","N/A","Pitch Perfect","N/A","Kay Cannon (screenplay), Mickey Rapkin (based on the book by)","66","7.2","Jason Moore","05 Oct 2012","Anna Kendrick, Skylar Astin, Ben Platt, Brittany Snow","2012","Comedy, Music, Romance","N/A","112 min","movie","http://ia.media-imdb.com/images/M/MV5BMTcyMTMzNzE5N15BMl5BanBnXkFtZTcwNzg5NjM5Nw@@._V1_SX178_.jpg","112,013","tt1981677"
"Eight years on, a new evil rises from where the Batman and Commissioner Gordon tried to bury it, causing the Batman to resurface and fight to protect Gotham City... the very city which brands him an enemy.","PG-13","True","English","The Dark Knight Rises","USA, UK","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), David S. Goyer (story), Bob Kane (creator)","78","8.6","Christopher Nolan","20 Jul 2012","Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","2012","Action, Crime, Thriller","Nominated for 1 BAFTA Film Award. Another 27 wins & 64 nominations.","165 min","movie","http://ia.media-imdb.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_SX300.jpg","721,315","tt1345836"
"Nick Fury of S.H.I.E.L.D. assembles a team of superhumans to save the planet from Loki and his army.","PG-13","True","English, Russian","The Avengers","USA","Joss Whedon (screenplay), Zak Penn (story)","69","8.2","Joss Whedon","04 May 2012","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","2012","Action, Fantasy","Nominated for 1 Oscar. Another 22 wins & 55 nominations.","143 min","movie","http://ia.media-imdb.com/images/M/MV5BMTk2NTI1MTU4N15BMl5BanBnXkFtZTcwODg0OTY0Nw@@._V1_SX300.jpg","603,525","tt0848228"
"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.","R","True","English, German, French","Django Unchained","USA","Quentin Tarantino","81","8.5","Quentin Tarantino","25 Dec 2012","Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington","2012","Adventure, Drama, Western","Won 2 Oscars. Another 35 wins & 54 nominations.","165 min","movie","http://ia.media-imdb.com/images/M/MV5BMjIyNTQ5NjQ1OV5BMl5BanBnXkFtZTcwODg1MDU4OA@@._V1_SX300.jpg","498,859","tt1853728"
"An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.","R","True","English, Spanish","Cloud Atlas","Germany, USA, Hong Kong, Singapore","David Mitchell (novel), Lana Wachowski (written for the screen by), Tom Tykwer (written for the screen by), Andy Wachowski (written for the screen by)","55","7.6","Tom Tykwer, Andy Wachowski, Lana Wachowski","26 Oct 2012","Tom Hanks, Halle Berry, Jim Broadbent, Hugo Weaving","2012","Adventure, Drama, Sci-Fi","Nominated for 1 Golden Globe. Another 14 wins & 27 nominations.","172 min","movie","http://ia.media-imdb.com/images/M/MV5BMTczMTgxMjc4NF5BMl5BanBnXkFtZTcwNjM5MTA2OA@@._V1_SY264_CR0,0,178,264_.jpg","190,711","tt1371111"
"An introvert freshman is taken under the wings of two seniors who welcome him to the real world.","PG-13","True","English","The Perks of Being a Wallflower","USA","Stephen Chbosky (screenplay)","67","8.1","Stephen Chbosky","12 Oct 2012","Logan Lerman, Dylan McDermott, Kate Walsh, Patrick de Ledebur","2012","Drama, Romance","17 wins & 22 nominations.","102 min","movie","http://ia.media-imdb.com/images/M/MV5BMzIxOTQyODU1OV5BMl5BanBnXkFtZTcwMDQ4Mjg4Nw@@._V1_SX300.jpg","202,400","tt1659337"
