"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.","PG-13","True","English, Spanish","Avatar","USA, UK","James Cameron","83","7.9","James Cameron","18 Dec 2009","Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang","2009","Action, Adventure, Fantasy","Won 3 Oscars. Another 58 wins & 73 nominations.","162 min","movie","http://ia.media-imdb.com/images/M/MV5BMTYwOTEwNjAzMl5BMl5BanBnXkFtZTcwODc5MTUwMw@@._V1_SY264_CR0,0,178,264_.jpg","633,361","tt0499549"
"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","R","True","English, German, French, Italian","Inglourious Basterds","USA, Germany","Quentin Tarantino","69","8.3","Quentin Tarantino, Eli Roth","21 Aug 2009","Brad Pitt, MĂŠlanie Laurent, Christoph Waltz, Eli Roth","2009","Adventure, Drama, War","Won 1 Oscar. Another 76 wins & 63 nominations.","153 min","movie","http://ia.media-imdb.com/images/M/MV5BMjIzMDI4MTUzOV5BMl5BanBnXkFtZTcwNDY3NjA3Mg@@._V1_SX300.jpg","532,336","tt0361748"
"The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful, time-traveling Romulan creates black holes to destroy the Federation one planet at a time.","PG-13","True","English","Star Trek","USA, Germany","Roberto Orci, Alex Kurtzman, Gene Roddenberry (television series ""Star Trek"")","83","8.0","J.J. Abrams","08 May 2009","Chris Pine, Zachary Quinto, Leonard Nimoy, Eric Bana","2009","Action, Adventure, Sci-Fi","Won 1 Oscar. Another 19 wins & 50 nominations.","127 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE5NDQ5OTE4Ml5BMl5BanBnXkFtZTcwOTE3NDIzMw@@._V1_SY264_CR0,0,178,264_.jpg","378,100","tt0796366"
"Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.","R","True","English","The Hangover","USA, Germany","Jon Lucas, Scott Moore","73","7.8","Todd Phillips","05 Jun 2009","Bradley Cooper, Ed Helms, Zach Galifianakis, Justin Bartha","2009","Comedy","Won 1 Golden Globe. Another 6 wins & 17 nominations.","100 min","movie","http://ia.media-imdb.com/images/M/MV5BMTU1MDA1MTYwMF5BMl5BanBnXkFtZTcwMDcxMzA1Mg@@._V1_SX178_.jpg","406,149","tt1119646"
"By tying thousands of balloons to his home, 78-year-old Carl sets out to fulfill his lifelong dream to see the wilds of South America. Russell, a wilderness explorer 70 years younger, inadvertently becomes a stowaway.","PG","True","English","Up","USA","Pete Docter (story), Bob Peterson (story), Thomas McCarthy (story)","88","8.3","Pete Docter, Bob Peterson","29 May 2009","Edward Asner, Christopher Plummer, Jordan Nagai, Bob Peterson","2009","Animation, Adventure, Drama","Won 2 Oscars. Another 53 wins & 37 nominations.","96 min","movie","http://ia.media-imdb.com/images/M/MV5BMTMwODg0NDY1Nl5BMl5BanBnXkFtZTcwMjkwNTgyMg@@._V1_SY264_CR0,0,178,264_.jpg","395,851","tt1049413"
"Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal.","PG-13","True","English","The Lovely Bones","USA, UK, New Zealand","Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay), Alice Sebold (novel)","42","6.6","Peter Jackson","15 Jan 2010","Mark Wahlberg, Rachel Weisz, Susan Sarandon, Stanley Tucci","2009","Drama, Fantasy","Nominated for 1 Oscar. Another 8 wins & 22 nominations.","135 min","movie","http://ia.media-imdb.com/images/M/MV5BMjAwNDA1MTM2MF5BMl5BanBnXkFtZTcwMzg3NDcwMw@@._V1_SY264_CR0,0,178,264_.jpg","94,530","tt0380510"
"Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.","PG-13","True","English, French","Sherlock Holmes","USA, Germany","Michael Robert Johnson (screenplay), Anthony Peckham (screenplay), Simon Kinberg (screenplay), Lionel Wigram (screen story), Arthur Conan Doyle (characters: Sherlock Holmes,  Dr. Watson)","57","7.6","Guy Ritchie","25 Dec 2009","Robert Downey Jr., Jude Law, Rachel McAdams, Mark Strong","2009","Action, Adventure, Crime","Nominated for 2 Oscars. Another 9 wins & 20 nominations.","128 min","movie","http://ia.media-imdb.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1_SX178_.jpg","330,722","tt0988045"
"A look at Wolverine's early life, in particular his time with the government squad Weapon and the impact it will have on his later years.","PG-13","True","English","X-Men Origins: Wolverine","USA","David Benioff (screenplay), Skip Woods (screenplay)","40","6.7","Gavin Hood","01 May 2009","Hugh Jackman, Liev Schreiber, Danny Huston, Will i Am","2009","Action, Adventure, Sci-Fi","3 wins & 13 nominations.","107 min","movie","http://ia.media-imdb.com/images/M/MV5BMTI2MTgyNjExM15BMl5BanBnXkFtZTcwNzU4MjkyMg@@._V1_SX300.jpg","219,496","tt0458525"
"In an alternate 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.","R","True","English","Watchmen","USA","David Hayter (screenplay), Alex Tse (screenplay), Dave Gibbons (graphic novel illustrator)","56","7.6","Zack Snyder","06 Mar 2009","Malin Akerman, Billy Crudup, Matthew Goode, Jackie Earle Haley","2009","Action, Drama, Mystery","5 wins & 12 nominations.","162 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc0NjI2OTYxMF5BMl5BanBnXkFtZTcwMTcxMjkyMg@@._V1_SX300.jpg","288,312","tt0409459"
"An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.","PG-13","True","English, French, Swedish","(500) Days of Summer","USA","Scott Neustadter, Michael H. Weber","76","7.8","Marc Webb","07 Aug 2009","Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, ChloĂŤ Grace Moretz","2009","Comedy, Drama, Romance","Nominated for 2 Golden Globes. Another 10 wins & 22 nominations.","95 min","movie","http://ia.media-imdb.com/images/M/MV5BMTk5MjM4OTU1OV5BMl5BanBnXkFtZTcwODkzNDIzMw@@._V1_SX178_.jpg","259,523","tt1022603"
"A shy student trying to reach his family in Ohio, and a gun-toting tough guy trying to find the Last Twinkie and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.","R","True","English","Zombieland","USA","Rhett Reese, Paul Wernick","73","7.7","Ruben Fleischer","02 Oct 2009","Jesse Eisenberg, Woody Harrelson, Emma Stone, Abigail Breslin","2009","Comedy, Horror","5 wins & 9 nominations.","88 min","movie","http://ia.media-imdb.com/images/M/MV5BMTU5MDg0NTQ1N15BMl5BanBnXkFtZTcwMjA4Mjg3Mg@@._V1_SX300.jpg","261,784","tt1156398"
"As Harry Potter begins his sixth year at Hogwarts, he discovers an old book marked as ""the property of the Half-Blood Prince"" and begins to learn more about Lord Voldemort's dark past.","PG","True","English","Harry Potter and the Half-Blood Prince","UK, USA","Steve Kloves (screenplay), J.K. Rowling (novel)","78","7.4","David Yates","15 Jul 2009","Daniel Radcliffe, Michael Gambon, Dave Legeno, Elarica Gallacher","2009","Adventure, Family, Fantasy","Nominated for 1 Oscar. Another 8 wins & 25 nominations.","153 min","movie","http://ia.media-imdb.com/images/M/MV5BNzU3NDg4NTAyNV5BMl5BanBnXkFtZTcwOTg2ODg1Mg@@._V1_SX300.jpg","219,174","tt0417741"
