"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.","R","True","English","Superbad","USA","Seth Rogen, Evan Goldberg","76","7.6","Greg Mottola","17 Aug 2007","Jonah Hill, Michael Cera, Christopher Mintz-Plasse, Bill Hader","2007","Comedy","7 wins & 14 nominations.","113 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc0NjIyMjA2OF5BMl5BanBnXkFtZTcwMzIxNDE1MQ@@._V1_SX178_.jpg","310,319","tt0829482"
"A preteen's life is changed after befriending the new girl at school.","PG","True","English","Bridge to Terabithia","USA","Jeff Stockwell (screenplay), David Paterson (screenplay), Katherine Paterson (book)","74","7.2","Gabor Csupo","16 Feb 2007","Josh Hutcherson, AnnaSophia Robb, Zooey Deschanel, Robert Patrick","2007","Adventure, Drama, Family","6 wins & 2 nominations.","96 min","movie","http://ia.media-imdb.com/images/M/MV5BMTMzOTk1MzIyN15BMl5BanBnXkFtZTcwNTM3MjczMQ@@._V1_SX300.jpg","79,906","tt0398808"
"A classic Disney fairytale collides with modern-day New York City in a story about a fairytale princess who is sent to our world by an evil queen. Soon after her arrival, Princess Giselle begins to change her views on life and love after meeting a handsome lawyer. Can a storybook view of romance survive in the real world?","PG","True","English","Enchanted","USA","Bill Kelly","75","7.2","Kevin Lima","21 Nov 2007","Amy Adams, Patrick Dempsey, James Marsden, Timothy Spall","2007","Comedy, Family, Fantasy","Nominated for 3 Oscars. Another 8 wins & 26 nominations.","107 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE4NDQ2Mjc0OF5BMl5BanBnXkFtZTcwNzQ2NDE1MQ@@._V1_SY264_CR0,0,178,264_.jpg","104,596","tt0461770"
"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.","PG-13","True","English","Stardust","UK, USA, Iceland","Jane Goldman (screenplay), Matthew Vaughn (screenplay), Neil Gaiman (novel)","66","7.7","Matthew Vaughn","10 Aug 2007","Ian McKellen, Bimbo Hart, Alastair MacIntosh, David Kelly","2007","Adventure, Family, Fantasy","4 wins & 3 nominations.","127 min","movie","http://ia.media-imdb.com/images/M/MV5BMjkyMTE1OTYwNF5BMl5BanBnXkFtZTcwMDIxODYzMw@@._V1_SX300.jpg","167,325","tt0486655"
"Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat, Nicholas suspects a sinister conspiracy is afoot with the residents.","R","True","English","Hot Fuzz","UK, France, USA","Edgar Wright, Simon Pegg","81","7.8","Edgar Wright","14 Feb 2007","Simon Pegg, Martin Freeman, Bill Nighy, Robert Popper","2007","Action, Comedy","2 wins & 4 nominations.","121 min","movie","http://ia.media-imdb.com/images/M/MV5BMTIxODg2NDU1MF5BMl5BanBnXkFtZTcwOTc3MDM0MQ@@._V1_SY264_CR0,0,178,264_.jpg","252,598","tt0425112"
"A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why.","R","True","English","Shooter","USA","Jonathan Lemkin (screenplay), Stephen Hunter (novel)","53","7.1","Antoine Fuqua","23 Mar 2007","Mark Wahlberg, Michael Pe単a, Danny Glover, Kate Mara","2007","Action, Crime, Drama","1 nomination.","124 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA1NTU0Mzk4OF5BMl5BanBnXkFtZTcwNTc4MTY0MQ@@._V1_SX178_.jpg","181,474","tt0822854"
"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.","PG-13","True","English, Spanish","Transformers","USA","Roberto Orci (screenplay), Alex Kurtzman (screenplay), John Rogers (story)","61","7.1","Michael Bay","03 Jul 2007","Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson","2007","Action, Adventure, Sci-Fi","Nominated for 3 Oscars. Another 12 wins & 30 nominations.","144 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQwNjU5MzUzNl5BMl5BanBnXkFtZTYwMzc1MTI3._V1_SX300.jpg","385,934","tt0418279"
"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.","R","True","English, Danish","Into the Wild","USA","Sean Penn (screenplay), Jon Krakauer (book)","73","8.2","Sean Penn","21 Sep 2007","Emile Hirsch, Marcia Gay Harden, William Hurt, Jena Malone","2007","Adventure, Biography, Drama","Nominated for 2 Oscars. Another 18 wins & 43 nominations.","148 min","movie","http://ia.media-imdb.com/images/M/MV5BMTAwNDEyODU1MjheQTJeQWpwZ15BbWU2MDc3NDQwNw@@._V1_SX300.jpg","279,114","tt0758758"
"Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.","R","True","English, Spanish","No Country for Old Men","USA","Joel Coen (screenplay), Ethan Coen (screenplay), Cormac McCarthy (novel)","91","8.1","Ethan Coen, Joel Coen","21 Nov 2007","Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson","2007","Crime, Drama, Thriller","Won 4 Oscars. Another 110 wins & 51 nominations.","122 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_SY264_CR0,0,178,264_.jpg","411,995","tt0477348"
"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.","PG-13","True","English","Harry Potter and the Order of the Phoenix","UK, USA","Michael Goldenberg (screenplay), J.K. Rowling (novel)","71","7.4","David Yates","11 Jul 2007","Daniel Radcliffe, Harry Melling, Jason Boyd, Richard Macklin","2007","Adventure, Family, Fantasy","Nominated for 2 BAFTA Film Awards. Another 13 wins & 32 nominations.","138 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM0NTczMTUzOV5BMl5BanBnXkFtZTYwMzIxNTg3._V1_SX300.jpg","249,438","tt0373889"
"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.","R","True","English, American Sign Language","There Will Be Blood","USA","Paul Thomas Anderson (screenplay), Upton Sinclair (novel)","92","8.1","Paul Thomas Anderson","25 Jan 2008","Daniel Day-Lewis, Martin Stringer, Matthew Braden Stringer, Jacob Stringer","2007","Drama","Won 2 Oscars. Another 74 wins & 58 nominations.","158 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA0NjE1ODEyNV5BMl5BanBnXkFtZTcwNDIzMzE5NQ@@._V1_SY264_CR10,0,178,264_.jpg","259,604","tt0469494"
"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.","PG-13","True","English","Juno","USA","Diablo Cody","81","7.6","Jason Reitman","25 Dec 2007","Ellen Page, Michael Cera, Jennifer Garner, Jason Bateman","2007","Comedy, Drama, Romance","Won 1 Oscar. Another 63 wins & 44 nominations.","96 min","movie","http://ia.media-imdb.com/images/M/MV5BMTgxMjgyMTcyNF5BMl5BanBnXkFtZTcwMDg1MTU1MQ@@._V1_SX300.jpg","310,970","tt0467406"
"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, and make their final alliances for one last decisive battle.","PG-13","True","English","Pirates of the Caribbean: At World's End","USA","Ted Elliott, Terry Rossio, Stuart Beattie (characters), Jay Wolpert (characters)","50","7.0","Gore Verbinski","25 May 2007","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","2007","Action, Adventure, Fantasy","Nominated for 2 Oscars. Another 18 wins & 28 nominations.","169 min","movie","http://ia.media-imdb.com/images/M/MV5BMjIyNjkxNzEyMl5BMl5BanBnXkFtZTYwMjc3MDE3._V1_SY264_CR0,0,178,264_.jpg","326,274","tt0449088"
"Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.","PG","True","English","Hairspray","USA, UK","Leslie Dixon (screenplay), John Waters, Mark O'Donnell (musical play), Thomas Meehan (musical play)","81","6.8","Adam Shankman","20 Jul 2007","John Travolta, Michelle Pfeiffer, Christopher Walken, Amanda Bynes","2007","Comedy, Musical, Romance","Nominated for 3 Golden Globes. Another 13 wins & 19 nominations.","117 min","movie","http://ia.media-imdb.com/images/M/MV5BMTIyMTMzNzIyNV5BMl5BanBnXkFtZTcwMjM1NDk0MQ@@._V1_SX300.jpg","74,527","tt0427327"
"Fledgling writer Briony Tallis, as a 13-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit. Based on the British romance novel by Ian McEwan.","R","True","English, French","Atonement","UK, France, USA","Ian McEwan (novel), Christopher Hampton (screenplay)","85","7.8","Joe Wright","04 Jan 2008","Saoirse Ronan, Ailidh Mackay, Brenda Blethyn, Julia West","2007","Drama, Mystery, Romance","Won 1 Oscar. Another 28 wins & 79 nominations.","123 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM0ODc2Mzg1Nl5BMl5BanBnXkFtZTcwMTg4MDU1MQ@@._V1_SX300.jpg","147,147","tt0783233"
"For fun loving party animal Ben Stone, the last thing he ever expected was for his one night stand to show up on his doorstep eight weeks later to tell him she's pregnant.","R","True","English","Knocked Up","USA","Judd Apatow","85","7.1","Judd Apatow","01 Jun 2007","Seth Rogen, Katherine Heigl, Paul Rudd, Leslie Mann","2007","Comedy, Drama, Romance","4 wins & 14 nominations.","129 min","movie","http://ia.media-imdb.com/images/M/MV5BMTU1Njk0ODEwOF5BMl5BanBnXkFtZTYwMzA3ODc2._V1_SX300.jpg","231,343","tt0478311"
"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.","PG-13","True","English, French","Spider-Man 3","USA","Sam Raimi (screenplay), Ivan Raimi (screenplay), Alvin Sargent (screenplay), Stan Lee (Marvel comic book), Steve Ditko (Marvel comic book)","59","6.2","Sam Raimi","04 May 2007","Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church","2007","Action, Adventure, Fantasy","Nominated for 1 BAFTA Film Award. Another 1 win & 26 nominations.","139 min","movie","http://ia.media-imdb.com/images/M/MV5BODUwMDc5Mzc5M15BMl5BanBnXkFtZTcwNDgzOTY0MQ@@._V1_SX300.jpg","254,737","tt0413300"
"The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.","R","True","English, Italian","Sweeney Todd: The Demon Barber of Fleet Street","USA, UK","John Logan (screenplay), Hugh Wheeler (musical), Christopher Bond (musical adaptation)","83","7.5","Tim Burton","21 Dec 2007","Johnny Depp, Helena Bonham Carter, Alan Rickman, Timothy Spall","2007","Drama, Horror, Musical","Won 1 Oscar. Another 23 wins & 34 nominations.","116 min","movie","http://ia.media-imdb.com/images/M/MV5BMTg3NjUxMzM5NV5BMl5BanBnXkFtZTcwMzQ1NjQzMw@@._V1_SX300.jpg","212,124","tt0408236"
"A San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac killer.","R","True","English","Zodiac","USA","James Vanderbilt (screenplay), Robert Graysmith (book)","78","7.7","David Fincher","02 Mar 2007","Jake Gyllenhaal, Mark Ruffalo, Anthony Edwards, Robert Downey Jr.","2007","Crime, Drama, Mystery","27 nominations.","157 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQxNjc2NzAwNF5BMl5BanBnXkFtZTcwMDg3NzMzMw@@._V1_SX300.jpg","197,273","tt0443706"
"In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East.","R","True","English","American Gangster","USA","Steven Zaillian, Mark Jacobson (article)","76","7.8","Ridley Scott","02 Nov 2007","Denzel Washington, Russell Crowe, Chiwetel Ejiofor, Josh Brolin","2007","Biography, Crime, Drama","Nominated for 2 Oscars. Another 9 wins & 30 nominations.","157 min","movie","http://ia.media-imdb.com/images/M/MV5BMTkyNzY5MDA5MV5BMl5BanBnXkFtZTcwMjg4MzI3MQ@@._V1_SX300.jpg","251,259","tt0765429"
"After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence.","R","True","English","Paranormal Activity","USA","Oren Peli","68","6.4","Oren Peli","16 Oct 2009","Katie Featherston, Micah Sloat, Mark Fredrichs, Amber Armstrong","2007","Horror, Mystery","3 wins & 7 nominations.","86 min","movie","http://ia.media-imdb.com/images/M/MV5BMjY1NjcxODQ4MV5BMl5BanBnXkFtZTcwMzUxNjM4Mg@@._V1_SX300.jpg","140,280","tt1179904"
"With dreams of becoming a chef, a culinary genius in the form of a rat, makes an unusual alliance with a young kitchen worker at a famed restaurant.","G","True","English, French","Ratatouille","USA","Brad Bird (screenwriter), Jan Pinkava (original story by), Jim Capobianco (original story), Emily Cook (additional story material), Kathy Greenberg (additional story material), Bob Peterson (additional story material)","96","8.0","Brad Bird, Jan Pinkava","29 Jun 2007","Patton Oswalt, Ian Holm, Lou Romano, Brian Dennehy","2007","Animation, Comedy, Family","Won 1 Oscar. Another 46 wins & 21 nominations.","111 min","movie","http://ia.media-imdb.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_SX300.jpg","329,929","tt0382932"
"Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer.","PG-13","True","English, French, Arabic, Russian, Spanish","The Bourne Ultimatum","USA, Germany","Tony Gilroy (screenplay), Scott Z. Burns (screenplay), George Nolfi (screenplay), Robert Ludlum (novel)","85","8.1","Paul Greengrass","03 Aug 2007","Matt Damon, Julia Stiles, David Strathairn, Scott Glenn","2007","Action, Crime, Thriller","Won 3 Oscars. Another 17 wins & 27 nominations.","115 min","movie","http://ia.media-imdb.com/images/M/MV5BMTgzNjMwOTM3N15BMl5BanBnXkFtZTcwMzA5MDY0MQ@@._V1_SX300.jpg","338,095","tt0440963"
"An American journalist on assignment in the Australian outback encounters a man-eating crocodile.","R","True","English","Rogue","Australia, USA, UK","Greg Mclean","N/A","6.3","Greg Mclean","08 Nov 2007","Radha Mitchell, Michael Vartan, Sam Worthington, Caroline Brazier","2007","Action, Adventure, Horror","2 wins & 3 nominations.","99 min","movie","http://ia.media-imdb.com/images/M/MV5BMTYxNzAxNDU3Ml5BMl5BanBnXkFtZTcwMDU0ODg2MQ@@._V1_SX300.jpg","17,089","tt0479528"
"A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.","PG-13","True","English","P.S. I Love You","USA","Richard LaGravenese (screenplay), Steven Rogers (screenplay), Cecelia Ahern (novel)","39","6.9","Richard LaGravenese","21 Dec 2007","Hilary Swank, Gerard Butler, Lisa Kudrow, Gina Gershon","2007","Drama, Romance","2 wins & 4 nominations.","126 min","movie","http://ia.media-imdb.com/images/M/MV5BNTg2MDg4MjI5NV5BMl5BanBnXkFtZTcwMzQ0MDczMw@@._V1_SY264_CR0,0,178,264_.jpg","115,627","tt0431308"
"Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.","R","True","English","Death Proof","USA","Quentin Tarantino","N/A","7.1","Quentin Tarantino","31 May 2007","Kurt Russell, ZoĂŤ Bell, Rosario Dawson, Vanessa Ferlito","2007","Action, Thriller","1 win & 3 nominations.","113 min","movie","http://ia.media-imdb.com/images/M/MV5BMTUwMDQxNjIxM15BMl5BanBnXkFtZTcwMzg5MzkwNA@@._V1_SX300.jpg","156,264","tt1028528"
"John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.","PG-13","True","English, Italian, French","Live Free or Die Hard","USA, UK","Mark Bomback (screenplay), David Marconi (story), John Carlin (article), Roderick Thorp (certain original characters)","69","7.3","Len Wiseman","27 Jun 2007","Bruce Willis, Timothy Olyphant, Justin Long, Maggie Q","2007","Action, Crime, Thriller","3 wins & 14 nominations.","128 min","movie","http://ia.media-imdb.com/images/M/MV5BNDQxMDE1OTg4NV5BMl5BanBnXkFtZTcwMTMzOTQzMw@@._V1_SX300.jpg","269,790","tt0337978"
"The warrior Beowulf must fight and defeat the monster Grendel who is terrorizing towns, and later, Grendel's mother, who begins killing out of revenge.","PG-13","True","English, Old English","Beowulf","USA","Neil Gaiman (screenplay), Roger Avary (screenplay), Anonymous (epic poem ""Beowulf"")","59","6.3","Robert Zemeckis","16 Nov 2007","Robin Wright, Anthony Hopkins, Paul Baker, John Bilezikjian","2007","Animation, Action, Adventure","1 win & 12 nominations.","115 min","movie","http://ia.media-imdb.com/images/M/MV5BMTUzMjM0MTc3MF5BMl5BanBnXkFtZTcwNzU0ODMyMw@@._V1_SY264_CR0,0,178,264_.jpg","117,996","tt0442933"
"Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff.","PG-13","True","English, French, Spanish","Ocean's Thirteen","USA","Brian Koppelman, David Levien, George Clayton Johnson (characters), Jack Golden Russell (characters)","62","6.8","Steven Soderbergh","08 Jun 2007","George Clooney, Brad Pitt, Matt Damon, Michael Mantell","2007","Crime, Thriller","1 win & 5 nominations.","122 min","movie","http://ia.media-imdb.com/images/M/MV5BMTMyNTc1NzY5MV5BMl5BanBnXkFtZTcwNDM4NTQzMw@@._V1_SX300.jpg","183,808","tt0496806"
"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally. Based on the Dennis Lehane novel.","R","True","English","Gone Baby Gone","USA","Ben Affleck (screenplay), Aaron Stockard (screenplay), Dennis Lehane (novel)","72","7.7","Ben Affleck","19 Oct 2007","Casey Affleck, Michelle Monaghan, Morgan Freeman, Ed Harris","2007","Crime, Drama, Mystery","Nominated for 1 Oscar. Another 23 wins & 12 nominations.","114 min","movie","http://ia.media-imdb.com/images/M/MV5BMTYzNjc3MTY1MV5BMl5BanBnXkFtZTcwMzA1MjE2MQ@@._V1_SX300.jpg","142,095","tt0452623"
"A delusional young guy strikes up an unconventional relationship with a doll he finds on the Internet.","PG-13","True","English, Spanish","Lars and the Real Girl","USA, Canada","Nancy Oliver","70","7.4","Craig Gillespie","25 Oct 2007","Ryan Gosling, Emily Mortimer, Paul Schneider, R.D. Reid","2007","Comedy, Drama","Nominated for 1 Oscar. Another 8 wins & 16 nominations.","106 min","movie","http://ia.media-imdb.com/images/M/MV5BMTI4NDc1NDkwMV5BMl5BanBnXkFtZTcwNjgzMDE1MQ@@._V1_SX300.jpg","91,422","tt0805564"
