"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"Follows the lives of eight very different couples in dealing with their love lives in various loosely and interrelated tales all set during a frantic month before Christmas in London, England.","R","True","English, Portuguese, French","Love Actually","UK, USA, France","Richard Curtis","55","7.7","Richard Curtis","14 Nov 2003","Bill Nighy, Gregor Fisher, Rory MacGregor, Colin Firth","2003","Comedy, Drama, Romance","Nominated for 2 Golden Globes. Another 10 wins & 19 nominations.","135 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY4NjQ5NDc0Nl5BMl5BanBnXkFtZTYwNjk5NDM3._V1_SX300.jpg","230,176","tt0314331"
"Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.","PG-13","True","English, Quenya, Old English, Sindarin","The Lord of the Rings: The Return of the King","USA, New Zealand","J.R.R. Tolkien (novel), Fran Walsh (screenplay), Philippa Boyens (screenplay), Peter Jackson (screenplay)","94","8.9","Peter Jackson","17 Dec 2003","Noel Appleby, Alexandra Astin, Sean Astin, David Aston","2003","Action, Adventure, Fantasy","Won 11 Oscars. Another 119 wins & 73 nominations.","201 min","movie","http://ia.media-imdb.com/images/M/MV5BMjE4MjA1NTAyMV5BMl5BanBnXkFtZTcwNzM1NDQyMQ@@._V1_SX300.jpg","807,859","tt0167260"
"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","PG-13","True","English","Pirates of the Caribbean: The Curse of the Black Pearl","USA","Ted Elliott (screen story), Terry Rossio (screen story), Stuart Beattie (screen story), Jay Wolpert (screen story)","63","8.0","Gore Verbinski","09 Jul 2003","Johnny Depp, Geoffrey Rush, Orlando Bloom, Keira Knightley","2003","Action, Adventure, Fantasy","Nominated for 5 Oscars. Another 28 wins & 70 nominations.","143 min","movie","http://ia.media-imdb.com/images/M/MV5BMjAyNDM4MTc2N15BMl5BanBnXkFtZTYwNDk0Mjc3._V1_SY264_CR0,0,178,264_.jpg","540,097","tt0325980"
"After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.","G","True","English","Finding Nemo","USA","Andrew Stanton (original story by), Bob Peterson (screenplay), David Reynolds (screenplay)","90","8.1","Andrew Stanton, Lee Unkrich","30 May 2003","Albert Brooks, Ellen DeGeneres, Alexander Gould, Willem Dafoe","2003","Animation, Adventure, Comedy","Won 1 Oscar. Another 36 wins & 37 nominations.","100 min","movie","http://ia.media-imdb.com/images/M/MV5BMTY1MTg1NDAxOV5BMl5BanBnXkFtZTcwMjg1MDI5Nw@@._V1_SY264_CR0,0,178,264_.jpg","422,772","tt0266543"
"After inadvertently wreaking havoc on the elf community due to his ungainly size, a man raised as an elf at the North Pole is sent to the U.S. in search of his true identity.","PG","True","English","Elf","USA, Germany","David Berenbaum","64","6.8","Jon Favreau","07 Nov 2003","Will Ferrell, James Caan, Bob Newhart, Edward Asner","2003","Comedy, Family, Fantasy","2 wins & 7 nominations.","97 min","movie","http://ia.media-imdb.com/images/M/MV5BNjY1NjQ3NDY5MF5BMl5BanBnXkFtZTYwODAyMTc3._V1_SX300.jpg","104,519","tt0319343"
"A son tries to learn more about his dying father by reliving stories and myths he told about his life.","PG-13","True","English","Big Fish","USA","Daniel Wallace (novel), John August (screenplay)","58","8.0","Tim Burton","09 Jan 2004","Ewan McGregor, Albert Finney, Billy Crudup, Jessica Lange","2003","Adventure, Drama, Fantasy","Nominated for 1 Oscar. Another 33 nominations.","125 min","movie","http://ia.media-imdb.com/images/M/MV5BMTYyMzM3MzgyNV5BMl5BanBnXkFtZTcwMTI4MzUyMQ@@._V1_SY264_CR4,0,178,264_.jpg","287,198","tt0319061"
"After being kidnapped and imprisoned for 15 years, Oh Dae-Su is released, only to find that he must find his captor in 5 days.","R","True","Korean","Oldboy","South Korea","Garon Tsuchiya (story), Nobuaki Minegishi (comic), Chan-wook Park (screenplay), Chun-hyeong Lim (screenplay), Jo-yun Hwang (screenplay), Joon-hyung Lim","74","8.4","Chan-wook Park","21 Nov 2003","Min-sik Choi, Ji-tae Yu, Hye-jeong Kang, Dae-han Ji","2003","Drama, Mystery, Thriller","18 wins & 11 nominations.","120 min","movie","http://ia.media-imdb.com/images/M/MV5BMTI3NTQyMzU5M15BMl5BanBnXkFtZTcwMTM2MjgyMQ@@._V1_SX300.jpg","229,384","tt0364569"
"The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place.","PG","True","English","Peter Pan","Australia, USA, UK","J.M. Barrie (play), P.J. Hogan (screenplay), Michael Goldenberg (screenplay)","64","6.9","P.J. Hogan","25 Dec 2003","Jason Isaacs, Jeremy Sumpter, Rachel Hurd-Wood, Lynn Redgrave","2003","Adventure, Family, Fantasy","3 wins & 11 nominations.","113 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM0ODI2MzA0NV5BMl5BanBnXkFtZTYwNjUzMzg2._V1_SX300.jpg","39,726","tt0316396"
"After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally.","PG-13","True","English, Russian, Italian","The Italian Job","USA, France, UK","Troy Kennedy-Martin, Donna Powers (screenplay), Wayne Powers (screenplay)","68","6.9","F. Gary Gray","30 May 2003","Mark Wahlberg, Charlize Theron, Donald Sutherland, Jason Statham","2003","Action, Crime, Thriller","5 wins & 7 nominations.","111 min","movie","http://ia.media-imdb.com/images/M/MV5BMTc1MjY1MTA0NV5BMl5BanBnXkFtZTYwNTc5OTU3._V1_SX300.jpg","213,234","tt0317740"
"The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of.","R","True","English, Japanese, French","Kill Bill: Vol. 1","USA","Quentin Tarantino, Quentin Tarantino (character The Bride), Uma Thurman (character The Bride)","69","8.2","Quentin Tarantino","10 Oct 2003","Uma Thurman, Lucy Liu, Vivica A. Fox, Daryl Hannah","2003","Action, Crime","Nominated for 1 Golden Globe. Another 13 wins & 43 nominations.","111 min","movie","http://ia.media-imdb.com/images/M/MV5BMTU1NDg1Mzg4M15BMl5BanBnXkFtZTYwMDExOTc3._V1_SX300.jpg","489,475","tt0266697"
