"Plot","Rated","Response","Language","Title","Country","Writer","Metascore","imdbRating","Director","Released","Actors","Year","Genre","Awards","Runtime","Type","Poster","imdbVotes","imdbID"
"An undercover state cop who has infiltrated an Irish gang and a mole in the police force working for the same mob race to track down and identify each other before being exposed to the enemy, after both sides realize their outfit has a rat.","R","True","English, Cantonese","The Departed","USA, Hong Kong","William Monahan (screenplay), Alan Mak, Felix Chong","86","8.5","Martin Scorsese","06 Oct 2006","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg","2006","Crime, Drama, Thriller","Won 4 Oscars. Another 63 wins & 62 nominations.","151 min","movie","http://ia.media-imdb.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_SY264_CR0,0,178,264_.jpg","560,097","tt0407887"
"The rivalry between two magicians becomes more exacerbated by their attempt to perform the ultimate illusion.","PG-13","True","English","The Prestige","USA, UK","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Priest (novel)","66","8.5","Christopher Nolan","20 Oct 2006","Hugh Jackman, Christian Bale, Michael Caine, Piper Perabo","2006","Drama, Mystery, Thriller","Nominated for 2 Oscars. Another 4 wins & 17 nominations.","130 min","movie","http://ia.media-imdb.com/images/M/MV5BMjA4NDI0MTIxNF5BMl5BanBnXkFtZTYwNTM0MzY2._V1_SX300.jpg","520,410","tt0482571"
"King Leonidas and a force of 300 men fight the Persians at Thermopylae in 480 B.C.","R","True","English","300","USA","Zack Snyder (screenplay), Kurt Johnstad (screenplay), Michael Gordon (screenplay), Frank Miller (graphic novel), Lynn Varley (graphic novel)","51","7.7","Zack Snyder","09 Mar 2007","Gerard Butler, Lena Headey, Dominic West, David Wenham","2006","Action, Fantasy, History","9 wins & 28 nominations.","117 min","movie","http://ia.media-imdb.com/images/M/MV5BMjAzNTkzNjcxNl5BMl5BanBnXkFtZTYwNDA4NjE3._V1_SX300.jpg","438,393","tt0416449"
"Two women troubled with guy-problems swap homes in each other's countries, where they each meet a local guy and fall in love.","PG-13","True","English","The Holiday","USA","Nancy Meyers","52","6.8","Nancy Meyers","08 Dec 2006","Cameron Diaz, Kate Winslet, Jude Law, Jack Black","2006","Comedy, Romance","1 win & 5 nominations.","138 min","movie","http://ia.media-imdb.com/images/M/MV5BMTM2MzEyNDkxNF5BMl5BanBnXkFtZTcwODE5NjkzMQ@@._V1_SX300.jpg","129,591","tt0457939"
"When a cure is found to treat mutations, lines are drawn amongst the X-Men, led by Professor Charles Xavier, and the Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.","PG-13","True","English","X-Men: The Last Stand","Canada, USA, UK","Simon Kinberg, Zak Penn","58","6.8","Brett Ratner","26 May 2006","Hugh Jackman, Halle Berry, Ian McKellen, Patrick Stewart","2006","Action, Adventure, Sci-Fi","5 wins & 29 nominations.","104 min","movie","http://ia.media-imdb.com/images/M/MV5BMjI1NTg2ODA2Nl5BMl5BanBnXkFtZTcwMDc2MjEzMw@@._V1_SX300.jpg","254,335","tt0376994"
"Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.","PG-13","True","N/A","Pirates of the Caribbean: Dead Man's Chest","N/A","Ted Elliott, Terry Rossio, Stuart Beattie (characters), Jay Wolpert (characters)","53","7.3","Gore Verbinski","07 Jul 2006","Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport","2006","Action, Adventure, Fantasy","N/A","151 min","movie","http://ia.media-imdb.com/images/M/MV5BMTcwODc1MTMxM15BMl5BanBnXkFtZTYwMDg1NzY3._V1_SY264_CR0,0,178,264_.jpg","360,205","tt0383574"
"Alabama teenager Sean Boswell becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.","PG-13","True","English, Japanese","The Fast and the Furious: Tokyo Drift","USA, Germany","Chris Morgan","46","5.8","Justin Lin","16 Jun 2006","Lucas Black, Damien Marzette, Trula M. Marcus, Zachery Ty Bryan","2006","Action, Crime, Drama","4 nominations.","104 min","movie","http://ia.media-imdb.com/images/M/MV5BMTQ2NTMxODEyNV5BMl5BanBnXkFtZTcwMDgxMjA0MQ@@._V1_SY264_CR0,0,178,264_.jpg","107,641","tt0463985"
"After a long visit to the lost remains of the planet Krypton, the Man of Steel returns to Earth to become the people's savior once again and reclaim the love of Lois Lane.","PG-13","True","English, German, French","Superman Returns","USA","Michael Dougherty (screenplay), Dan Harris (screenplay), Bryan Singer (story), Jerry Siegel (characters), Joe Shuster (characters)","72","6.2","Bryan Singer","28 Jun 2006","Brandon Routh, Kate Bosworth, Kevin Spacey, James Marsden","2006","Action, Adventure, Fantasy","Nominated for 1 Oscar. Another 10 wins & 22 nominations.","154 min","movie","http://ia.media-imdb.com/images/M/MV5BMTU3NzA5MjI0Nl5BMl5BanBnXkFtZTcwMTEwNzMzMQ@@._V1_SY264_CR0,0,178,264_.jpg","199,993","tt0348150"
"A murder inside the Louvre and clues in Da Vinci paintings lead to the discovery of a religious mystery protected by a secret society for two thousand years -- which could shake the foundations of Christianity.","PG-13","True","English, French, Latin, Spanish","The Da Vinci Code","USA, Malta, France, UK","Akiva Goldsman (screenplay), Dan Brown (novel)","46","6.4","Ron Howard","19 May 2006","Tom Hanks, Audrey Tautou, Ian McKellen, Jean Reno","2006","Mystery, Thriller","Nominated for 1 Golden Globe. Another 1 win & 16 nominations.","149 min","movie","http://ia.media-imdb.com/images/M/MV5BMjIxMjQyMTc3Nl5BMl5BanBnXkFtZTcwMTA1MDUzMw@@._V1_SX300.jpg","228,763","tt0382625"
"When her brother decides to ditch for a couple weeks in London, Viola heads over to his elite boarding school, disguises herself as him, and proceeds to fall for one of her soccer teammates. Little does she realize she's not the only one with romantic troubles, as she, as he, gets in the middle of a series of intermingled love affairs.","PG-13","True","N/A","She's the Man","N/A","Ewan Leslie, Karen McCullah","N/A","6.3","Andy Fickman","17 Mar 2006","Amanda Bynes, Laura Ramsey, Channing Tatum, Vinnie Jones","2006","Comedy, Romance","N/A","1 h 45 min","movie","http://ia.media-imdb.com/images/M/MV5BMjEyMzAzMDk1Ml5BMl5BanBnXkFtZTcwNjg0OTEzMQ@@._V1_SX300.jpg","75,358","tt0454945"
