"tt0314331","Love Actually","7.7","135 mins.","Richard Curtis","Hugh Grant;Martine McCutcheon;Liam Neeson","Comedy;Drama;Romance","Follows the lives of eight very different couples in dealing with their love lives in various loosely and interrelated tales all set during a frantic month before Christmas in London, England."
"tt0167260","The Lord of the Rings: The Return of the King","8.9","201 mins.","Peter Jackson","Elijah Wood;Viggo Mortensen;Ian McKellen","Action;Adventure;Fantasy","Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring."
"tt0325980","Pirates of the Caribbean: The Curse of the Black Pearl","8.1","143 mins.","Gore Verbinski","Johnny Depp;Geoffrey Rush;Orlando Bloom","Action;Adventure;Fantasy","Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead."
"tt0266543","Finding Nemo","8.2","100 mins.","Andrew Stanton","Lee Unkrich;Albert Brooks;Ellen DeGeneres;Alexander Gould","Animation;Adventure;Comedy;Family","After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
"tt0319343","Elf","6.9","97 mins.","Jon Favreau","Will Ferrell;James Caan;Bob Newhart","Comedy;Family;Fantasy;Romance","After inadvertently wreaking havoc on the elf community due to his ungainly size, a man raised as an elf at the North Pole is sent to the U.S. in search of his true identity."
"tt0319061","Big Fish","8.0","125 mins.","Tim Burton","Ewan McGregor;Albert Finney;Billy Crudup","Adventure;Drama;Fantasy","A son tries to learn more about his dying father by reliving stories and myths he told about his life."
"tt0364569","Oldboy","8.4","120 mins.","Chan-wook Park","Min-sik Choi;Ji-tae Yu;Hye-jeong Kang","Drama;Mystery;Thriller","After being kidnapped and imprisoned for 15 years, Oh Dae-Su is released, only to find that he must find his captor in 5 days."
"tt0316396","Peter Pan","6.9","113 mins.","P.J. Hogan","Jeremy Sumpter;Jason Isaacs;Olivia Williams","Adventure;Family;Fantasy;Romance","The Darling family children receive a visit from Peter Pan, who takes them to Never Never Land where an ongoing war with the evil Pirate Captain Hook is taking place."
"tt0317740","The Italian Job","7.0","111 mins.","F. Gary Gray","Donald Sutherland;Mark Wahlberg;Edward Norton","Action;Crime;Thriller","After being betrayed and left for dead in Italy, Charlie Croker and his team plan an elaborate gold heist against their former ally."
"tt0266697","Kill Bill: Vol. 1","8.2","111 mins.","Quentin Tarantino","Uma Thurman;David Carradine;Daryl Hannah","Action;Crime","The Bride wakens from a four-year coma. The child she carried in her womb is gone. Now she must wreak vengeance on the team of assassins who betrayed her - a team she was once part of."
"tt0322259","2 Fast 2 Furious","5.6","107 mins.","John Singleton","Paul Walker;Tyrese Gibson;Cole Hauser","Action;Crime;Thriller","Brian O'Conner and childhood friend Roman Pearce are re-united by the FBI to bring down a Miami drug exporter in exchange for clear records."
"tt0311289","Holes","7.1","117 mins.","Andrew Davis","Shia LaBeouf;Sigourney Weaver;Jon Voight","Adventure;Comedy;Drama;Family;Mystery;Romance","A wrongfully convicted boy is sent to a brutal desert detention camp where he joins the job of digging holes for some mysterious reason."
"tt0290334","X2","7.5","133 mins.","Bryan Singer","Patrick Stewart;Hugh Jackman;Halle Berry","Action;Adventure;Sci-Fi;Thriller","The X-Men band together to find a mutant assassin who has made an attempt on the President's life, while the Mutant Academy is attacked by military forces."
"tt0311429","The League of Extraordinary Gentlemen","5.7","110 mins.","Stephen Norrington","Sean Connery;Stuart Townsend;Peta Wilson","Action;Adventure;Fantasy;Sci-Fi","In an alternate Victorian Age world, a group of famous contemporary fantasy, SF and adventure characters team up on a secret mission."
"tt0325710","The Last Samurai","7.7","154 mins.","Edward Zwick","Tom Cruise;Ken Watanabe;Billy Connolly","Action;Drama;History;War","An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle."
"tt0320691","Underworld","7.0","121 mins.","Len Wiseman","Kate Beckinsale;Scott Speedman;Shane Brolly","Action;Fantasy;Thriller","Selene, a beautiful vampire warrior, is entrenched in a war between the vampire and werewolf races. Although she is aligned with the vampires, she falls in love with Michael, a werewolf who longs for the war to end."
"tt0335266","Lost in Translation","7.8","101 mins.","Sofia Coppola","Bill Murray;Scarlett Johansson;Giovanni Ribisi","Drama","A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo."
"tt0234215","The Matrix Reloaded","7.1","138 mins.","Andy Wachowski","Lana Wachowski;Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss","Action;Sci-Fi","Neo and the rebel leaders estimate that they have 72 hours until 250,000 probes discover Zion and destroy it and its inhabitants. During this, Neo must decide how he can save Trinity from a dark fate in his dreams."
"tt0327056","Mystic River","8.0","138 mins.","Clint Eastwood","Sean Penn;Tim Robbins;Kevin Bacon","Crime;Drama;Mystery;Thriller","With a childhood tragedy that overshadowed their lives, three men are reunited by circumstance when one loses a daughter."
"tt0332379","The School of Rock","7.1","108 mins.","Richard Linklater","Jack Black;Mike White;Joan Cusack","Comedy;Music","A wannabe rock star in need of cash poses as a substitute teacher at a prep school, and tries to turn his class into a rock band."
"tt0181852","Terminator 3: Rise of the Machines","6.4","109 mins.","Jonathan Mostow","Arnold Schwarzenegger;Nick Stahl;Kristanna Loken","Action;Sci-Fi;Thriller","A robotic warrior from a post-apocalyptic future travels back in time to protect a 20-year old drifter and his future wife from an most advanced robotic assassin and to ensure they both survive a nuclear attack."
"tt0302886","Old School","7.2","91 mins.","Todd Phillips","Luke Wilson;Vince Vaughn;Will Ferrell","Comedy","Three friends attempt to recapture their glory days by opening up a fraternity near their alma mater."
"tt0340855","Monster","7.3","109 mins.","Patty Jenkins","Charlize Theron;Christina Ricci;Bruce Dern","Biography;Crime;Drama","Based on the life of Aileen Wuornos, a Daytona Beach prostitute who became a serial killer."
