"tt0829482","Superbad","7.7","113 mins.","Greg Mottola","Michael Cera;Jonah Hill;Christopher Mintz-Plasse","Comedy","Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry."
"tt0398808","Bridge to Terabithia","7.2","96 mins.","Gabor Csupo","Josh Hutcherson;AnnaSophia Robb;Zooey Deschanel","Adventure;Drama;Family;Fantasy","A preteen's life is changed after befriending the new girl at school."
"tt0461770","Enchanted","7.2","107 mins.","Kevin Lima","Amy Adams;Susan Sarandon;James Marsden","Comedy;Family;Fantasy;Musical;Romance","A classic Disney fairytale collides with modern-day New York City in a story about a fairytale princess who is sent to our world by an evil queen. Soon after her arrival, Princess Giselle begins to change her views on life and love after meeting a handsome lawyer. Can a storybook view of romance survive in the real world?"
"tt0486655","Stardust","7.7","127 mins.","Matthew Vaughn","Charlie Cox;Claire Danes;Sienna Miller","Adventure;Family;Fantasy;Romance","In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm."
"tt0425112","Hot Fuzz","7.9","121 mins.","Edgar Wright","Simon Pegg;Nick Frost;Martin Freeman","Action;Comedy","Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat, Nicholas suspects a sinister conspiracy is afoot with the residents."
"tt0822854","Shooter","7.1","124 mins.","Antoine Fuqua","Mark Wahlberg;Michael PeÃ±a;Rhona Mitra","Action;Crime;Drama;Mystery;Thriller","A marksman living in exile is coaxed back into action after learning of a plot to kill the president. Ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why."
"tt0418279","Transformers","7.2","144 mins.","Michael Bay","Shia LaBeouf;Megan Fox;Josh Duhamel","Action;Adventure;Sci-Fi;Thriller","An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager."
"tt0758758","Into the Wild","8.2","148 mins.","Sean Penn","Emile Hirsch;Vince Vaughn;Catherine Keener","Adventure;Biography;Drama","After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life."
"tt0477348","No Country for Old Men","8.2","122 mins.","Ethan Coen","Joel Coen;Tommy Lee Jones;Javier Bardem;Josh Brolin","Crime;Drama;Thriller","Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande."
"tt0373889","Harry Potter and the Order of the Phoenix","7.4","138 mins.","David Yates","Daniel Radcliffe;Emma Watson;Rupert Grint","Adventure;Family;Fantasy;Mystery","With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts."
"tt0469494","There Will Be Blood","8.1","158 mins.","Paul Thomas Anderson","Daniel Day-Lewis;Paul Dano;CiarÃ¡n Hinds","Drama","A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business."
"tt0467406","Juno","7.6","96 mins.","Jason Reitman","Ellen Page;Michael Cera;Jennifer Garner","Comedy;Drama;Romance","Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child."
"tt0449088","Pirates of the Caribbean: At World's End","7.0","169 mins.","Gore Verbinski","Johnny Depp;Orlando Bloom;Keira Knightley","Action;Adventure;Fantasy","Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, and make their final alliances for one last decisive battle."
"tt0427327","Hairspray","6.8","117 mins.","Adam Shankman","John Travolta;Queen Latifah;Nikki Blonsky","Comedy;Musical;Romance","Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show."
"tt0783233","Atonement","7.8","123 mins.","Joe Wright","Keira Knightley;James McAvoy;Brenda Blethyn","Drama;Mystery;Romance;War","Fledgling writer Briony Tallis, as a 13-year-old, irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit. Based on the British romance novel by Ian McEwan."
"tt0478311","Knocked Up","7.1","129 mins.","Judd Apatow","Seth Rogen;Katherine Heigl;Paul Rudd","Comedy;Drama;Romance","For fun loving party animal Ben Stone, the last thing he ever expected was for his one night stand to show up on his doorstep eight weeks later to tell him she's pregnant."
"tt0413300","Spider-Man 3","6.2","139 mins.","Sam Raimi","Tobey Maguire;Kirsten Dunst;Topher Grace","Action;Adventure;Fantasy","A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge."
"tt0408236","Sweeney Todd: The Demon Barber of Fleet Street","7.5","116 mins.","Tim Burton","Johnny Depp;Helena Bonham Carter;Alan Rickman","Drama;Horror;Musical;Thriller","The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical."
"tt0443706","Zodiac","7.7","157 mins.","David Fincher","Jake Gyllenhaal;Robert Downey Jr.;Mark Ruffalo","Crime;Drama;Mystery;Thriller","A San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac killer."
"tt0765429","American Gangster","7.8","157 mins.","Ridley Scott","Denzel Washington;Russell Crowe;Chiwetel Ejiofor","Biography;Crime;Drama","In 1970s America, a detective works to bring down the drug empire of Frank Lucas, a heroin kingpin from Manhattan, who is smuggling the drug into the country from the Far East."
"tt1179904","Paranormal Activity","6.4","86 mins.","Oren Peli","Katie Featherston;Micah Sloat;Mark Fredrichs","Horror;Mystery","After moving into a suburban home, a couple becomes increasingly disturbed by a nightly demonic presence."
"tt0382932","Ratatouille","8.0","111 mins.","Brad Bird","Jan Pinkava;Brad Garrett;Lou Romano;Patton Oswalt","Animation;Comedy;Family;Fantasy","With dreams of becoming a chef, a culinary genius in the form of a mouse, makes an unusual alliance with a young kitchen worker at a famed restaurant."
"tt0440963","The Bourne Ultimatum","8.1","115 mins.","Paul Greengrass","Matt Damon;Ãdgar RamÃ­rez;Joan Allen","Action;Crime;Thriller","Jason Bourne dodges a ruthless CIA official and his agents from a new assassination program while searching for the origins of his life as a trained killer."
"tt0479528","Rogue","6.3","99 mins.","Greg Mclean","Michael Vartan;Radha Mitchell;Sam Worthington","Action;Adventure;Horror;Thriller","An American journalist on assignment in the Australian outback encounters a man-eating crocodile."
"tt0431308","P.S. I Love You","7.0","126 mins.","Richard LaGravenese","Hilary Swank;Gerard Butler;Harry Connick Jr.","Drama;Romance","A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life."
"tt1028528","Death Proof","7.1","113 mins.","Quentin Tarantino","Kurt Russell;ZoÃ« Bell;Rosario Dawson","Action;Thriller","Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans."
"tt0337978","Live Free or Die Hard","7.3","128 mins.","Len Wiseman","Bruce Willis;Justin Long;Timothy Olyphant","Action;Crime;Thriller","John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C."
"tt0442933","Beowulf","6.3","115 mins.","Robert Zemeckis","Ray Winstone;Crispin Glover;Angelina Jolie","Animation;Action;Adventure;Fantasy","The warrior Beowulf must fight and defeat the monster Grendel who is terrorizing towns, and later, Grendel's mother, who begins killing out of revenge."
"tt0496806","Ocean's Thirteen","6.9","122 mins.","Steven Soderbergh","George Clooney;Brad Pitt;Matt Damon","Crime;Thriller","Danny Ocean rounds up the boys for a third heist, after casino owner Willy Bank double-crosses one of the original eleven, Reuben Tishkoff."
