"tt1637725","Ted","7.1","106 mins.","Seth MacFarlane","Mark Wahlberg;Mila Kunis;Seth MacFarlane","Comedy;Fantasy","As the result of a childhood wish, John Bennett's teddy bear, Ted, came to life and has been by John's side ever since - a friendship that's tested when Lori, John's girlfriend of four years, wants more from their relationship."
"tt1615065","Savages","6.6","131 mins.","Oliver Stone","Aaron Taylor-Johnson;Taylor Kitsch;Blake Lively","Adventure;Crime;Drama;Thriller","Pot growers Ben and Chon face off against the Mexican drug cartel who kidnapped their shared girlfriend."
"tt1931533","Seven Psychopaths","7.2","110 mins.","Martin McDonagh","Colin Farrell;Woody Harrelson;Sam Rockwell","Comedy;Crime;Thriller","A struggling screenwriter inadvertently becomes entangled in the Los Angeles criminal underworld after his oddball friends kidnap a gangster's beloved Shih Tzu."
"tt2106476","The Hunt","8.3","115 mins.","Thomas Vinterberg","Mads Mikkelsen;Thomas Bo Larsen;Annika Wedderkopp","Drama","A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie."
"tt0948470","The Amazing Spider-Man","7.1","136 mins.","Marc Webb","Andrew Garfield;Emma Stone;Rhys Ifans","Action;Adventure;Fantasy","Peter Parker finds a clue that might help him understand why his parents disappeared when he was young. His path puts him on a collision course with Dr. Curt Connors, his father's former partner."
"tt0790724","Jack Reacher","7.0","130 mins.","Christopher McQuarrie","Tom Cruise;Rosamund Pike;Richard Jenkins","Action;Crime;Thriller","A homicide investigator digs deeper into a case involving a trained military sniper who shot five random victims."
"tt1212450","Lawless","7.3","116 mins.","John Hillcoat","Tom Hardy;Shia LaBeouf;Guy Pearce","Crime;Drama","Set in Depression-era Franklin County, Virginia, a bootlegging gang is threatened by a new deputy and other authorities who want a cut of their profits."
"tt1276104","Looper","7.5","119 mins.","Rian Johnson","Joseph Gordon-Levitt;Bruce Willis;Emily Blunt","Action;Crime;Sci-Fi;Thriller","In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination."
"tt0454876","Life of Pi","8.1","127 mins.","Ang Lee","Suraj Sharma;Irrfan Khan;Adil Hussain","Adventure;Drama;Fantasy","A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger."
"tt1735898","Snow White and the Huntsman","6.2","127 mins.","Rupert Sanders","Kristen Stewart;Chris Hemsworth;Charlize Theron","Adventure;Drama;Fantasy","In a twist to the fairy tale, the Huntsman ordered to take Snow White into the woods to be killed winds up becoming her protector and mentor in a quest to vanquish the Evil Queen."
"tt1922777","Sinister","6.8","110 mins.","Scott Derrickson","Ethan Hawke;Juliet Rylance;James Ransone","Horror;Mystery;Thriller","A true-crime writer finds a cache of 8mm home movies films that suggest the murder he is currently researching is the work of a serial killer whose career dates back to the 1960s."
"tt1343727","Dredd","7.0","95 mins.","Pete Travis","Karl Urban;Olivia Thirlby;Lena Headey","Action;Crime;Sci-Fi","In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO."
"tt1234719","Red Dawn","5.4","93 mins.","Dan Bradley","Chris Hemsworth;Isabel Lucas;Josh Hutcherson","Action;Thriller;War","A group of teenagers look to save their town from an invasion of North Korean soldiers."
"tt0443272","Lincoln","7.5","150 mins.","Steven Spielberg","Daniel Day-Lewis;Sally Field;David Strathairn","Biography;Drama;History;War","As the Civil War continues to rage, America's president struggles with continuing carnage on the battlefield and as he fights with many inside his own cabinet on the decision to emancipate the slaves."
