"tt0468569","The Dark Knight","9.0","152 mins.","Christopher Nolan","Christian Bale;Heath Ledger;Aaron Eckhart","Action;Crime;Drama;Thriller","When Batman, Gordon and Harvey Dent launch an assault on the mob, they let the clown out of the box, the Joker, bent on turning Gotham on itself and bringing any heroes down to his level."
"tt1099212","Twilight","5.2","122 mins.","Catherine Hardwicke","Kristen Stewart;Robert Pattinson;Billy Burke","Drama;Fantasy;Romance","A teenage girl risks everything when she falls in love with a vampire."
"tt0421715","The Curious Case of Benjamin Button","7.8","166 mins.","David Fincher","Brad Pitt;Cate Blanchett;Tilda Swinton","Drama;Fantasy;Romance","Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences."
"tt0371746","Iron Man","7.9","126 mins.","Jon Favreau","Robert Downey Jr.;Gwyneth Paltrow;Terrence Howard","Action;Adventure;Sci-Fi","When wealthy industrialist Tony Stark is forced to build an armored suit after a life-threatening incident, he ultimately decides to use its technology to fight against evil."
"tt0830515","Quantum of Solace","6.7","106 mins.","Marc Forster","Daniel Craig;Olga Kurylenko;Mathieu Amalric","Action;Adventure;Crime;Thriller","James Bond descends into mystery as he tries to stop a mysterious organization from eliminating a country's most valuable resource. All the while, he still tries to seek revenge over the death of his love."
"tt1024255","Wild Child","6.0","98 mins.","Nick Moore","Emma Roberts;Aidan Quinn;Natasha Richardson","Comedy;Drama;Romance","A rebellious Malibu princess is shipped off to a strict English boarding school by her father."
"tt0962726","High School Musical 3: Senior Year","4.1","112 mins.","Kenny Ortega","Zac Efron;Vanessa Hudgens;Ashley Tisdale","Comedy;Drama;Family;Musical;Romance","As seniors in high school, Troy and Gabriella struggle with the idea of being separated from one another as college approaches. Along with the rest of the Wildcats, they stage a spring musical to address their experiences, hopes and fears about their future."
"tt0910936","Pineapple Express","7.0","111 mins.","David Gordon Green","Seth Rogen;James Franco;Gary Cole","Action;Comedy;Crime","A process server and his marijuana dealer wind up on the run from hitmen and a corrupt police officer after he witness his dealer's boss murder a competitor while trying to serve papers on him."
"tt0942385","Tropic Thunder","7.0","107 mins.","Ben Stiller","Ben Stiller;Jack Black;Robert Downey Jr.","Action;Comedy","Through a series of freak occurrences, a group of actors shooting a big-budget war movie are forced to become the soldiers they are portraying."
"tt0499448","The Chronicles of Narnia: Prince Caspian","6.6","150 mins.","Andrew Adamson","Ben Barnes;Skandar Keynes;Georgie Henley","Action;Adventure;Family;Fantasy","The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian."
"tt0959337","Revolutionary Road","7.4","119 mins.","Sam Mendes","Leonardo DiCaprio;Kate Winslet;Christopher Fitzgerald","Drama;Romance","A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children. Based on a novel by Richard Yates."
"tt0795421","Mamma Mia!","6.3","108 mins.","Phyllida Lloyd","Meryl Streep;Pierce Brosnan;Amanda Seyfried","Comedy;Musical;Romance","The story of a bride-to-be trying to find her real father told using hit songs by the popular '70s group ABBA."
"tt0936501","Taken","7.9","93 mins.","Pierre Morel","Liam Neeson;Maggie Grace;Famke Janssen","Action;Crime;Thriller","A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris."
"tt0800080","The Incredible Hulk","6.9","112 mins.","Louis Leterrier","Edward Norton;Liv Tyler;Tim Roth","Action;Sci-Fi;Thriller","Dr. Bruce Banner, thanks to a gamma ray experiment gone wrong, transforms into a giant green-skinned hulk whenever his pulse rate gets too high. Meanwhile, a soldier uses the same technology to become an evil version of the original."
"tt0838283","Step Brothers","6.8","98 mins.","Adam McKay","Will Ferrell;John C. Reilly;Mary Steenburgen","Comedy","Two aimless middle-aged losers still living at home are forced against their will to become roommates when their parents get married."
"tt0910970","WALL·E","8.5","98 mins.","Andrew Stanton","Ben Burtt;Elissa Knight;Jeff Garlin","Animation;Adventure;Family;Romance;Sci-Fi","In the distant future, a small waste collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind."
