"tt0358273","Walk the Line","7.9","136 mins.","James Mangold","Joaquin Phoenix;Reese Witherspoon;Ginnifer Goodwin","Biography;Drama;Music;Romance","A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis and Carl Perkins."
"tt0378109","Into the Blue","5.8","110 mins.","John Stockwell","Paul Walker;Jessica Alba;Scott Caan","Action;Adventure;Crime;Thriller","A group of divers find themselves in deep trouble with a drug lord after they come upon the illicit cargo of a sunken airplane."
"tt0360486","Constantine","6.9","121 mins.","Francis Lawrence","Keanu Reeves;Rachel Weisz;Djimon Hounsou","Fantasy;Horror","Constantine tells the story of irreverent supernatural detective John Constantine, who has literally been to hell and back."
"tt0430105","Four Brothers","6.8","109 mins.","John Singleton","Mark Wahlberg;Tyrese Gibson;Garrett Hedlund","Action;Crime;Drama;Mystery;Thriller","Four brothers look to avenge their mother's death."
"tt0385002","Green Street Hooligans","7.5","109 mins.","Lexi Alexander","Elijah Wood;Charlie Hunnam;Claire Forlani","Crime;Drama;Sport","A wrongfully expelled Harvard undergrad moves to London, where he is introduced to the violent underworld of football hooliganism."
"tt0372532","The Wedding Date","5.9","90 mins.","Clare Kilner","Dermot Mulroney;Debra Messing;Jack Davenport","Comedy;Romance","Single-girl anxiety causes Kat Ellis (Messing) to hire a male escort (Mulroney) to pose as her boyfriend at her sister's wedding. Her plan, an attempt to dupe her ex-fiancÃ©, who dumped her a couple years prior, proves to be her undoing."
"tt0395699","The Pacifier","5.4","95 mins.","Adam Shankman","Vin Diesel;Brittany Snow;Max Thieriot","Action;Comedy;Drama;Family;Thriller","Disgraced Navy SEAL Shane Wolfe is handed a new assignment: Protect the five Plummer kids from enemies of their recently deceased father -- a government scientist whose top-secret experiment remains in the kids' house."
"tt0371724","The Hitchhiker's Guide to the Galaxy","6.7","109 mins.","Garth Jennings","Martin Freeman;Mos Def;Sam Rockwell","Adventure;Comedy;Sci-Fi","Mere seconds before the Earth is to be demolished by an alien construction crew, journeyman Arthur Dent is swept off the planet by his friend Ford Prefect, a researcher penning a new edition of ""The Hitchhiker's Guide to the Galaxy."""
"tt0416320","Match Point","7.7","124 mins.","Woody Allen","Scarlett Johansson;Jonathan Rhys Meyers;Emily Mortimer","Crime;Drama;Thriller","At a turning point in his life, a former tennis pro falls for a femme-fatal type who happens to be dating his friend and soon-to-be brother-in-law."
"tt0424136","Hard Candy","7.2","104 mins.","David Slade","Patrick Wilson;Ellen Page;Sandra Oh","Drama;Thriller","A teenage girl raids a man's home, suspecting he is a pedophile, in order to expose him."
"tt0384806","The Amityville Horror","5.9","90 mins.","Andrew Douglas","Ryan Reynolds;Melissa George;Jimmy Bennett","Drama;Horror;Mystery;Thriller","A family is terrorized by demonic forces after moving into a home that was the site of a grisly mass-murder."
"tt0355702","Lords of Dogtown","7.0","107 mins.","Catherine Hardwicke","Heath Ledger;Emile Hirsch;Victor Rasuk","Biography;Drama;Sport","The film follows the surf and skateboarding trends that originated in Venice, California during the 1970's."
"tt0386588","Hitch","6.6","118 mins.","Andy Tennant","Will Smith;Eva Mendes;Kevin James","Comedy;Romance","While helping his latest client woo the fine lady of his dreams, a professional ""date doctor"" finds that his game doesn't quite work on the gossip columnist with whom he's smitten."
"tt0404032","The Exorcism of Emily Rose","6.7","119 mins.","Scott Derrickson","Laura Linney;Tom Wilkinson;Shohreh Aghdashloo","Crime;Drama;Horror;Thriller","A lawyer takes on a negligent homicide case involving a priest who performed an exorcism on a young girl."
"tt0397535","Memoirs of a Geisha","7.3","145 mins.","Rob Marshall","Ziyi Zhang;Ken Watanabe;Michelle Yeoh","Drama;Romance","Nitta Sayuri reveals how she transcended her fishing-village roots and became one of Japan's most celebrated geisha."
"tt0373469","Kiss Kiss Bang Bang","7.7","103 mins.","Shane Black","Robert Downey Jr.;Val Kilmer;Michelle Monaghan","Action;Comedy;Crime;Mystery","A murder mystery brings together a private eye, a struggling actress, and a thief masquerading as an actor."
"tt0397065","House of Wax","5.3","113 mins.","Jaume Collet-Serra","Chad Michael Murray;Paris Hilton;Elisha Cuthbert","Horror;Thriller","A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit."
"tt0433400","Just Friends","6.2","96 mins.","Roger Kumble","Ryan Reynolds;Amy Smart;Anna Faris","Comedy;Romance","While visiting his hometown during Christmas, a man comes face-to-face with his old high school crush whom he was best friends with -- a woman whose rejection of him turned him into a ferocious womanizer."
"tt0408306","Munich","7.6","164 mins.","Steven Spielberg","Eric Bana;Daniel Craig;Marie-JosÃ©e Croze","Drama;History;Thriller","Based on the true story of the Black September aftermath, about the five men chosen to eliminate the ones responsible for that fateful day."
"tt0424774","The Adventures of Sharkboy and Lavagirl 3-D","3.4","93 mins.","Robert Rodriguez","Cayden Boyd;George Lopez;Kristin Davis","Action;Adventure;Family;Fantasy","A boy dreams up shark-boy and lava-girl and the horror that lies within their planet."
"tt0393109","Brick","7.5","110 mins.","Rian Johnson","Joseph Gordon-Levitt;Lukas Haas;Emilie de Ravin","Drama;Mystery","A teenage loner pushes his way into the underworld of a high school crime ring to investigate the disappearance of his ex-girlfriend."
"tt0356680","The Family Stone","6.3","103 mins.","Thomas Bezucha","Dermot Mulroney;Sarah Jessica Parker;Claire Danes","Comedy;Drama;Romance","An uptight, conservative, businesswoman accompanies her boyfriend to his eccentric and outgoing family's annual Christmas celebration and finds that she's a fish out of water in their free-spirited way of life."
"tt0294870","Rent","7.0","135 mins.","Chris Columbus","Taye Diggs;Wilson Jermaine Heredia;Rosario Dawson","Drama;Musical;Romance","This is the film version of the Pulitzer and Tony Award winning musical about Bohemians in the East Village of New York City struggling with life, love and AIDS, and the impacts they have on America."
"tt0396752","Nanny McPhee","6.6","97 mins.","Kirk Jones","Emma Thompson;Colin Firth;Angela Lansbury","Comedy;Family;Fantasy","Emma Thompson stars as a governess who uses magic to rein in the behavior of seven ne'er-do-well children in her charge."
"tt0399295","Lord of War","7.6","122 mins.","Andrew Niccol","Nicolas Cage;Ethan Hawke;Jared Leto","Crime;Drama;Thriller","An arms dealer confronts the morality of his work as he is being chased by an Interpol agent."
"tt0393162","Coach Carter","7.2","136 mins.","Thomas Carter","Samuel L. Jackson;Rick Gonzalez;Robert Ri'chard","Drama;Sport","Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him."
"tt0393162","Coach Carter","7.2","136 mins.","Thomas Carter","Samuel L. Jackson;Rick Gonzalez;Robert Ri'chard","Drama;Sport","Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him."
"tt0396652","Ice Princess","5.9","98 mins.","Tim Fywell","Michelle Trachtenberg;Kim Cattrall;Trevor Blumas","Comedy;Drama;Family;Sport","With the help of her coach, her parents, and the boy who drives the Zamboni machine, nothing can stop Casey (Trachtenberg) from realizing her dream to be a champion figure skater."
"tt0435625","The Descent","7.3","99 mins.","Neil Marshall","Shauna Macdonald;Natalie Mendoza;Alex Reid","Adventure;Horror","A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators."
"tt0352248","Cinderella Man","8.0","144 mins.","Ron Howard","Russell Crowe;RenÃ©e Zellweger;Craig Bierko","Biography;Drama;History;Romance;Sport","The story of James Braddock, a supposedly washed-up boxer who came back to become a champion and an inspiration in the 1930s."
"tt0418763","Jarhead","7.1","125 mins.","Sam Mendes","Jake Gyllenhaal;Jamie Foxx;Lucas Black","Biography;Drama;War","Based on former Marine Anthony Swofford's best-selling 2003 book about his pre-Desert Storm experiences in Saudi Arabia and about his experiences fighting in Kuwait."
"tt0432291","The Fog","3.5","100 mins.","Rupert Wainwright","Tom Welling;Maggie Grace;Selma Blair","Horror","The inhabitants of Antonio Island, off the coast of Oregon, are about to unveil a statue honoring the four men (Castle..."
"tt0402399","The New World","6.7","135 mins.","Terrence Malick","Colin Farrell;Q'orianka Kilcher;Christopher Plummer","Biography;Drama;History;Romance","The story of the English exploration of Virginia, and of the changing world and loves of Pocahontas."
"tt0395584","The Devil's Rejects","6.9","107 mins.","Rob Zombie","Sid Haig;Sheri Moon Zombie;Bill Moseley","Horror","The murderous, backwoods Firefly family takes to the road to escape a vengeful police force which isn't afraid of being as ruthless as their target."
"tt0452598","Cheaper by the Dozen 2","5.3","94 mins.","Adam Shankman","Steve Martin;Bonnie Hunt;Hilary Duff","Adventure;Comedy;Family","Steve Martin and Bonnie Hunt return as heads of the Baker family who, while on vacation, find themselves in competition with a rival family of eight children, headed by Eugene Levy"
"tt0403508","The Sisterhood of the Traveling Pants","6.6","119 mins.","Ken Kwapis","Amber Tamblyn;Alexis Bledel;America Ferrera","Comedy;Drama","Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly."
"tt0421239","Red Eye","6.5","85 mins.","Wes Craven","Rachel McAdams;Cillian Murphy;Brian Cox","Thriller","A woman is kidnapped by a stranger on a routine flight. Threatened by the potential murder of her father, she is pulled into a plot to assist her captor in offing a politician."
"tt0402022","Æon Flux","5.4","93 mins.","Karyn Kusama","Charlize Theron;Frances McDormand;Sophie Okonedo","Action;Sci-Fi","Aeon Flux is a mysterious assassin working for the Monicans, a group of rebels trying to overthrow the government. When she is a sent on a mission to kill the Chairman, a whole new mystery is found."
"tt0450278","Hostel","5.8","94 mins.","Eli Roth","Jay Hernandez;Derek Richardson;Eythor Gudjonsson","Horror","Three backpackers head to a Slovak city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them."
"tt0395251","The Producers","6.4","134 mins.","Susan Stroman","Nathan Lane;Matthew Broderick;Uma Thurman","Comedy;Musical","After putting together another Broadway flop, down-on-his-luck producer Max Bialystock teams up with timid accountant Leo Bloom in a get-rich-quick scheme to put on the world's worst show."
"tt0399146","A History of Violence","7.5","96 mins.","David Cronenberg","Viggo Mortensen;Maria Bello;Ed Harris","Crime;Drama;Thriller","A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core."
"tt0406375","Zathura: A Space Adventure","6.1","113 mins.","Jon Favreau","Josh Hutcherson;Jonah Bobo;Dax Shepard","Action;Adventure;Comedy;Family;Fantasy;Sci-Fi","Two young brothers are drawn into an intragalactic adventure when their house is magically hurtled through space because of the board game they are playing."
"tt0358082","Robots","6.3","91 mins.","Chris Wedge","Carlos Saldanha;Ewan McGregor;Halle Berry;Mel Brooks","Animation;Adventure;Comedy;Family;Romance;Sci-Fi","In a robot world, a young idealistic inventor travels to the big city to join his inspiration's company, only to find himself opposing its sinister new management."
"tt0398375","Rumor Has It...","5.5","97 mins.","Rob Reiner","Jennifer Aniston;Mark Ruffalo;Shirley MacLaine","Comedy;Drama;Romance","Sarah Huttinger is a woman who learns that her family was the inspiration for the book and film ""The Graduate"" -- and that she just might be the offspring of the well-documented event."
"tt0427944","Thank You for Smoking","7.7","92 mins.","Jason Reitman","Aaron Eckhart;Cameron Bright;Maria Bello","Comedy;Drama","Satirical comedy follows the machinations of Big Tobacco's chief spokesman, Nick Naylor, who spins on behalf of cigarettes while trying to remain a role model for his twelve-year-old son."
"tt0391304","A Lot Like Love","6.5","107 mins.","Nigel Cole","Ashton Kutcher;Amanda Peet;Taryn Manning","Comedy;Drama;Romance","On a flight from Los Angeles to New York, Oliver and Emily make a connection, only to decide that they are poorly suited to be together..."
"tt0371257","Stay","6.9","99 mins.","Marc Forster","Ewan McGregor;Naomi Watts;Ryan Gosling","Drama;Mystery;Thriller","This movie focuses on the attempts of a psychiatrist to prevent one of his patients from committing suicide while trying to maintain his own grip on reality."
"tt0121164","Corpse Bride","7.4","77 mins.","Tim Burton","Mike Johnson;Johnny Depp;Helena Bonham Carter;Emily Watson","Animation;Fantasy;Musical;Romance","When a shy groom practices his wedding vows in the inadvertent presence of a deceased young woman, she rises from the grave assuming he has married her."
"tt0332047","Fever Pitch","6.2","104 mins.","Bobby Farrelly","Peter Farrelly;Drew Barrymore;Jimmy Fallon;Jason Spevack","Comedy;Drama;Romance;Sport","Lindsay is stuck in the middle of her relationship with Ben and his passion for the Boston Red Sox."
"tt0443295","Yours, Mine and Ours","5.2","90 mins.","Raja Gosnell","Dennis Quaid;Rene Russo;Jerry O'Connell","Comedy;Family;Romance","A widowed Coast Guard Admiral and a widow handbag designer fall in love and marry, much to the dismay of her 10 and his 8 children."
"tt0425123","Just Like Heaven","6.7","95 mins.","Mark Waters","Reese Witherspoon;Mark Ruffalo;Donal Logue","Comedy;Fantasy;Romance","A lonely landscape architect (Ruffalo) falls for the spirit of beautiful woman (Witherspoon) who used to live in his new apartment."
"tt0412922","Little Manhattan","7.6","84 mins.","Mark Levin","Josh Hutcherson;Charlie Ray;Bradley Whitford","Comedy;Family;Romance","Two 11-year-olds find love in New York City."
"tt0412019","Broken Flowers","7.2","106 mins.","Jim Jarmusch","Bill Murray;Jessica Lange;Sharon Stone","Comedy;Drama;Mystery","As the extremely withdrawn Don Johnston is dumped by his latest woman, he receives an anonymous letter from a former lover informing him that he has a son who may be looking for him. A freelance sleuth neighbor moves Don to embark on a cross-country search for his old flames in search of answers."
"tt0432348","Saw II","6.6","93 mins.","Darren Lynn Bousman","Donnie Wahlberg;Beverley Mitchell;Franky G","Horror","Jigsaw locks a few unlucky people in a booby trapped shelter and they must find a way out before they inhale too much of a lethal nerve gas and die. But they must watch out, for the traps Jigsaw has set in the shelter lead to death also."
"tt0379725","Capote","7.4","114 mins.","Bennett Miller","Philip Seymour Hoffman;Clifton Collins Jr.;Catherine Keener","Biography;Crime;Drama","Truman Capote, during his research for his book In Cold Blood, an account of the murder of a Kansas family, the writer develops a close relationship with Perry Smith, one of the killers."
"tt0418832","Lie with Me","5.5","93 mins.","Clement Virgo","Lauren Lee Smith;Eric Balfour;Polly Shannon","Drama;Romance","An outgoing, sexually aggressive young woman meets and begins a torrid affair with an equally aggressive young man in which their affair begins to bring a strain on their personal lives."
"tt0365686","Revolver","6.4","115 mins.","Guy Ritchie","Jason Statham;Ray Liotta;Vincent Pastore","Crime;Drama;Mystery;Thriller","Gambler Jake Green enters into a game with potentially deadly consequences."
"tt0422093","Diary of a Mad Black Woman","5.4","116 mins.","Darren Grant","Kimberly Elise;Steve Harris;Tyler Perry","Comedy;Drama;Romance","A couple with a good marriage that seemed solid, actually begins to crumble when she discovers her husband's intentions for divorce."
"tt0402894","Casanova","6.5","112 mins.","Lasse HallstrÃ¶m","Heath Ledger;Sienna Miller;Jeremy Irons","Adventure;Comedy;Drama;Romance","Heath Ledger plays the fabled romantic as a man who, after failing to win the affection of a particular Venetian woman, strives to discover the real meaning of love."
"tt0285175","Havoc","5.5","85 mins.","Barbara Kopple","Anne Hathaway;Bijou Phillips;Shiri Appleby","Crime;Drama","Two affluent suburban girls who clash with the Latino gang culture of East LA."
"tt0419706","Doom","5.2","100 mins.","Andrzej Bartkowiak","Karl Urban;Rosamund Pike;Dwayne Johnson","Action;Adventure;Horror;Sci-Fi;Thriller","Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines."
"tt0384642","Kicking & Screaming","5.5","95 mins.","Jesse Dylan","Will Ferrell;Robert Duvall;Josh Hutcherson","Comedy;Family;Sport","Family man Phil Weston, a lifelong victim of his father's competitive nature, takes on the coaching duties of a kids' soccer team, and soon finds that he's also taking on his father's dysfunctional way of relating..."
"tt0374536","Bewitched","4.8","102 mins.","Nora Ephron","Nicole Kidman;Will Ferrell;Shirley MacLaine","Comedy;Fantasy;Romance","Thinking he can overshadow an unknown actress in the part, an egocentric actor unknowingly gets a witch cast in an upcoming television remake of the classic show ""Bewitched""."
"tt0398017","Derailed","6.6","108 mins.","Mikael HÃ¥fstrÃ¶m","Clive Owen;Jennifer Aniston;Vincent Cassel","Drama;Thriller","When two married business executives having an affair are blackmailed by a violent criminal, the two must turn the tables on him to save their families."
"tt0368578","Are We There Yet?","4.4","95 mins.","Brian Levant","Ice Cube;Nia Long;LeNae Allen","Adventure;Comedy;Drama;Family;Romance","The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened..."
"tt0388482","Transporter 2","6.2","87 mins.","Louis Leterrier","Jason Statham;Amber Valletta;Kate Nauta","Action;Crime;Thriller","Mercenary Frank Martin, who specializes moving goods of all kinds, surfaces again this time in Miami, Florida when he's implicated in the kidnapping of the young son of a powerful USA official."
"tt0365737","Syriana","7.0","128 mins.","Stephen Gaghan","George Clooney;Matt Damon;Amanda Peet","Drama;Thriller","A politically-charged epic about the state of the oil industry in the hands of those personally involved and affected by it."
