"tt0357413","Anchorman: The Legend of Ron Burgundy","7.3","94 mins.","Adam McKay","Will Ferrell;Christina Applegate;Steve Carell","Comedy","Ron Burgundy is San Diego's top rated newsman in the male-dominated broadcasting of the 70's, but that's all about to change for Ron and his cronies when an ambitious woman is hired as a new anchor."
"tt0377092","Mean Girls","6.9","97 mins.","Mark Waters","Lindsay Lohan;Jonathan Bennett;Rachel McAdams","Comedy","Cady Heron is a hit with The Plastics, the A-list girl clique at her new school, until she makes the mistake of falling for Aaron Samuels, the ex-boyfriend of alpha Plastic Regina George."
"tt0339291","Lemony Snicket's A Series of Unfortunate Events","6.8","108 mins.","Brad Silberling","Jim Carrey;Jude Law;Meryl Streep","Adventure;Comedy;Family;Fantasy","When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune."
"tt0332280","The Notebook","8.0","123 mins.","Nick Cassavetes","Gena Rowlands;James Garner;Rachel McAdams","Drama;Romance","A poor and passionate young man falls in love with a rich young woman and gives her a sense of freedom. They soon are separated by their social differences."
"tt0356470","A Cinderella Story","5.8","95 mins.","Mark Rosman","Hilary Duff;Chad Michael Murray;Jennifer Coolidge","Comedy;Family;Romance","Routinely exploited by her wicked stepmother, the downtrodden Sam Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance."
"tt0361862","The Machinist","7.8","101 mins.","Brad Anderson","Christian Bale;Jennifer Jason Leigh;Aitana SÃ¡nchez-GijÃ³n","Drama;Thriller","An industrial worker who hasn't slept in a year begins to doubt his own sanity."
"tt0338013","Eternal Sunshine of the Spotless Mind","8.4","108 mins.","Michel Gondry","Jim Carrey;Kate Winslet;Tom Wilkinson","Drama;Romance;Sci-Fi","A couple undergo a procedure to erase each other from their memories when their relationship turns sour, but it is only through the process of loss that they discover what they had to begin with."
"tt0304141","Harry Potter and the Prisoner of Azkaban","7.7","142 mins.","Alfonso CuarÃ³n","Daniel Radcliffe;Emma Watson;Rupert Grint","Adventure;Family;Fantasy;Mystery","It's Harry's third year at Hogwarts; not only does he have a new ""Defense Against the Dark Arts"" teacher, but there is also trouble brewing. Convicted murderer Sirius Black has escaped the Wizards' Prison and is coming after Harry."
"tt0332452","Troy","7.2","163 mins.","Wolfgang Petersen","Brad Pitt;Eric Bana;Orlando Bloom","Adventure;Drama","An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved."
"tt0362227","The Terminal","7.3","128 mins.","Steven Spielberg","Tom Hanks;Catherine Zeta-Jones;Chi McBride","Comedy;Drama","An eastern immigrant finds himself stranded in JFK airport, and must take up temporary residence there."
"tt0317705","The Incredibles","8.0","115 mins.","Brad Bird","Craig T. Nelson;Samuel L. Jackson;Holly Hunter","Animation;Action;Adventure;Family","A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world."
"tt0338751","The Aviator","7.5","170 mins.","Martin Scorsese","Leonardo DiCaprio;Cate Blanchett;Kate Beckinsale","Biography;Drama","A biopic depicting the early years of legendary director and aviator Howard Hughes' career, from the late 1920s to the mid-1940s."
