"tt0499549","Avatar","7.9","162 mins.","James Cameron","Sam Worthington;Zoe Saldana;Sigourney Weaver","Action;Adventure;Fantasy;Sci-Fi","A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home."
"tt0361748","Inglourious Basterds","8.3","153 mins.","Quentin Tarantino","Brad Pitt;Diane Kruger;Eli Roth","Adventure;Drama;War","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
"tt0796366","Star Trek","8.0","127 mins.","J.J. Abrams","Chris Pine;Zachary Quinto;Simon Pegg","Action;Adventure;Sci-Fi","The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful, time-traveling Romulan creates black holes to destroy the Federation one planet at a time."
"tt1119646","The Hangover","7.8","100 mins.","Todd Phillips","Zach Galifianakis;Bradley Cooper;Justin Bartha","Comedy","Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding."
"tt1049413","Up","8.3","96 mins.","Pete Docter","Bob Peterson;Edward Asner;Jordan Nagai;John Ratzenberger","Animation;Adventure;Drama;Family;Fantasy","By tying thousands of balloons to his home, 78-year-old Carl sets out to fulfill his lifelong dream to see the wilds of South America. Russell, a wilderness explorer 70 years younger, inadvertently becomes a stowaway."
"tt0380510","The Lovely Bones","6.6","135 mins.","Peter Jackson","Rachel Weisz;Mark Wahlberg;Saoirse Ronan","Drama;Fantasy","Centers on a young girl who has been murdered and watches over her family - and her killer - from purgatory. She must weigh her desire for vengeance against her desire for her family to heal."
"tt0988045","Sherlock Holmes","7.6","128 mins.","Guy Ritchie","Robert Downey Jr.;Jude Law;Rachel McAdams","Action;Adventure;Crime;Mystery;Thriller","Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England."
"tt0458525","X-Men Origins: Wolverine","6.7","107 mins.","Gavin Hood","Hugh Jackman;Liev Schreiber;Ryan Reynolds","Action;Adventure;Sci-Fi;Thriller","A look at Wolverine's early life, in particular his time with the government squad Weapon and the impact it will have on his later years."
"tt0409459","Watchmen","7.6","162 mins.","Zack Snyder","Jackie Earle Haley;Patrick Wilson;Carla Gugino","Action;Drama;Mystery;Sci-Fi","In an alternate 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
"tt1022603","(500) Days of Summer","7.8","95 mins.","Marc Webb","Zooey Deschanel;Joseph Gordon-Levitt;Geoffrey Arend","Comedy;Drama;Romance","An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her."
