"tt0449010","Eragon","5.1","104 mins.","Stefen Fangmeier","Ed Speleers;Sienna Guillory;Jeremy Irons","Action;Adventure;Family;Fantasy","In his homeland of Alagaesia, a farm boy happens upon a dragon's egg -- a discovery that leads him on a predestined journey where he realized he's the one person who can defend his home against an evil king."
"tt0206634","Children of Men","7.9","109 mins.","Alfonso CuarÃ³n","Julianne Moore;Clive Owen;Chiwetel Ejiofor","Adventure;Drama;Sci-Fi;Thriller","In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea."
"tt0450259","Blood Diamond","8.0","143 mins.","Edward Zwick","Leonardo DiCaprio;Djimon Hounsou;Jennifer Connelly","Adventure;Drama;Thriller","A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond."
"tt0404203","Little Children","7.6","136 mins.","Todd Field","Kate Winslet;Jennifer Connelly;Patrick Wilson","Drama","The lives of two lovelorn spouses from separate marriages, a registered sex offender, and a disgraced ex-police officer intersect as they struggle to resist their vulnerabilities and temptations."
"tt0452594","The Break-Up","5.8","106 mins.","Peyton Reed","Jennifer Aniston;Vince Vaughn;Jon Favreau","Comedy;Drama;Romance","In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment."
"tt0460791","The Fall","7.9","117 mins.","Tarsem Singh","Lee Pace;Catinca Untaru;Justine Waddell","Adventure;Drama;Fantasy","In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances."
"tt0454921","The Pursuit of Happyness","7.9","117 mins.","Gabriele Muccino","Will Smith;Thandie Newton;Jaden Smith","Biography;Drama","A struggling salesman takes custody of his son as he's poised to begin a life-changing professional endeavor."
"tt0472160","Penelope","6.9","104 mins.","Mark Palansky","Christina Ricci;James McAvoy;Reese Witherspoon","Comedy;Fantasy;Romance","A modern romantic tale about a young aristocratic heiress born under a curse that can only be broken when she finds true love with ""one who will love her faithfully."""
"tt0758794","We Are Marshall","7.1","131 mins.","McG","Matthew McConaughey;Matthew Fox;Anthony Mackie","Drama;Sport","When a plane crash claims the lives of members of the Marshall University football team and some of its fans, the team's new coach and his surviving players try to keep the football program alive."
"tt0422720","Marie Antoinette","6.4","123 mins.","Sofia Coppola","Kirsten Dunst;Jason Schwartzman;Rip Torn","Biography;Drama;History","The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 15 to her reign as queen at 19 and to the end of her reign as queen and ultimately the fall of Versailles."
"tt0414993","The Fountain","7.3","96 mins.","Darren Aronofsky","Hugh Jackman;Rachel Weisz;Sean Patrick Thomas","Drama;Romance;Sci-Fi","Spanning three parallel stories over a millennium, 'The Fountain' is a story of love, death, spirituality, and the fragility of our existence in this world."
"tt0454848","Inside Man","7.7","129 mins.","Spike Lee","Denzel Washington;Clive Owen;Jodie Foster","Crime;Drama;Thriller","A police detective, a bank robber, and a high-power broker enter high-stakes negotiations after the criminal's brilliant heist spirals into a hostage situation."
"tt0396171","Perfume: The Story of a Murderer","7.5","147 mins.","Tom Tykwer","Ben Whishaw;Dustin Hoffman;Alan Rickman","Crime;Drama;Fantasy","Jean-Baptiste Grenouille, born with a superior olfactory sense, creates the world's finest perfume. His work, however, takes a dark turn as he searches for the ultimate scent."
"tt0472043","Apocalypto","7.8","139 mins.","Mel Gibson","Gerardo Taracena;Raoul Trujillo;Dalia HernÃ¡ndez","Action;Adventure;Drama;Thriller","As the Mayan kingdom faces its decline, the rulers insist the key to prosperity is to build more temples and offer human sacrifices. Jaguar Paw, a young man captured for sacrifice, flees to avoid his fate."
"tt0389860","Click","6.4","107 mins.","Frank Coraci","Adam Sandler;Kate Beckinsale;Christopher Walken","Comedy;Drama;Fantasy;Romance","A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices."
"tt0384537","Silent Hill","6.6","125 mins.","Christophe Gans","Radha Mitchell;Laurie Holden;Sean Bean","Horror;Mystery","A woman goes in search for her daughter, within the confines of a strange, desolate town called Silent Hill. Based on the video game."
"tt0790604","Deck the Halls","4.8","93 mins.","John Whitesell","Matthew Broderick;Danny DeVito;Kristin Chenoweth","Comedy;Family","Two neighbors have it out after one of them decorates his house for the holidays so brightly that it can be seen from space."
"tt0490076","All the Boys Love Mandy Lane","5.6","90 mins.","Jonathan Levine","Amber Heard;Anson Mount;Whitney Able","Horror;Mystery;Thriller","A group of high-schoolers invite Mandy Lane, a good girl who became quite hot over the summer, to a weekend party on a secluded ranch. While the festivities rage on, the number of revelers begins to drop quite mysteriously."
"tt0449467","Babel","7.5","143 mins.","Alejandro GonzÃ¡lez IÃ±Ã¡rritu","Brad Pitt;Cate Blanchett;Gael GarcÃ­a Bernal","Drama","Tragedy strikes a married couple on vacation in the Moroccan desert, touching off an interlocking story involving four different families."
